backend,nthreads,family,type,bits,N,seconds,iters,mflops
cuda,32,double-based,double,53,4096,3.003700e-05,7,272.7303
cuda,32,float-based,float,24,4096,2.946700e-05,7,278.0059
cuda,32,double-based,dd,106,4096,8.655200e-05,7,94.6483
cuda,32,double-based,td,159,4096,1.015510e-04,7,80.6688
cuda,32,double-based,qd,212,4096,1.319940e-04,7,62.0634
cuda,32,float-based,ds,48,4096,7.889500e-05,7,103.8342
cuda,32,float-based,ts,72,4096,8.055700e-05,7,101.6920
cuda,32,float-based,qs,96,4096,9.573800e-05,7,85.5669
cuda,4096,double-based,double,53,4096,6.228000e-06,7,1315.3500
cuda,4096,float-based,float,24,4096,6.172000e-06,7,1327.2845
cuda,4096,double-based,dd,106,4096,6.737000e-06,7,1215.9715
cuda,4096,double-based,td,159,4096,6.928000e-06,7,1182.4480
cuda,4096,double-based,qd,212,4096,7.416000e-06,7,1104.6386
cuda,4096,float-based,ds,48,4096,6.580000e-06,7,1244.9848
cuda,4096,float-based,ts,72,4096,6.691000e-06,7,1224.3312
cuda,4096,float-based,qs,96,4096,6.880000e-06,7,1190.6977
cuda,32,double-based,double,53,16384,1.032200e-04,7,317.4579
cuda,32,float-based,float,24,16384,9.860900e-05,7,332.3023
cuda,32,double-based,dd,106,16384,3.304570e-04,7,99.1596
cuda,32,double-based,td,159,16384,3.893610e-04,7,84.1584
cuda,32,double-based,qd,212,16384,5.108490e-04,7,64.1442
cuda,32,float-based,ds,48,16384,2.999140e-04,7,109.2580
cuda,32,float-based,ts,72,16384,3.077140e-04,7,106.4885
cuda,32,float-based,qs,96,16384,3.673810e-04,7,89.1935
cuda,16384,double-based,double,53,16384,6.338000e-06,7,5170.0852
cuda,16384,float-based,float,24,16384,6.268000e-06,7,5227.8239
cuda,16384,double-based,dd,106,16384,6.748000e-06,7,4855.9573
cuda,16384,double-based,td,159,16384,7.046000e-06,7,4650.5819
cuda,16384,double-based,qd,212,16384,7.518000e-06,7,4358.6060
cuda,16384,float-based,ds,48,16384,6.681000e-06,7,4904.6550
cuda,16384,float-based,ts,72,16384,6.740000e-06,7,4861.7211
cuda,16384,float-based,qs,96,16384,6.936000e-06,7,4724.3368
cuda,32,double-based,double,53,65536,3.913440e-04,7,334.9278
cuda,32,float-based,float,24,65536,3.802970e-04,7,344.6569
cuda,32,double-based,dd,106,65536,1.306831e-03,7,100.2976
cuda,32,double-based,td,159,65536,1.539681e-03,7,85.1293
cuda,32,double-based,qd,212,65536,2.024473e-03,7,64.7438
cuda,32,float-based,ds,48,65536,1.183211e-03,7,110.7765
cuda,32,float-based,ts,72,65536,1.213120e-03,7,108.0454
cuda,32,float-based,qs,96,65536,1.454992e-03,7,90.0843
cuda,65536,double-based,double,53,65536,6.566000e-06,7,19962.2297
cuda,65536,float-based,float,24,65536,6.448000e-06,7,20327.5434
cuda,65536,double-based,dd,106,65536,7.233000e-06,7,18121.3881
cuda,65536,double-based,td,159,65536,7.975000e-06,7,16435.3605
cuda,65536,double-based,qd,212,65536,8.631000e-06,7,15186.1893
cuda,65536,float-based,ds,48,65536,6.840000e-06,7,19162.5731
cuda,65536,float-based,ts,72,65536,7.297000e-06,7,17962.4503
cuda,65536,float-based,qs,96,65536,7.790000e-06,7,16825.6739
cuda,262144,double-based,double,53,262144,7.472000e-06,7,70167.0236
cuda,262144,float-based,float,24,262144,7.287000e-06,7,71948.4013
cuda,262144,double-based,dd,106,262144,1.066800e-05,7,49145.8568
cuda,262144,double-based,td,159,262144,1.190900e-05,7,44024.5193
cuda,262144,double-based,qd,212,262144,1.563800e-05,7,33526.5379
cuda,262144,float-based,ds,48,262144,8.289000e-06,7,63251.0556
cuda,262144,float-based,ts,72,262144,9.522000e-06,7,55060.7015
cuda,262144,float-based,qs,96,262144,1.090500e-05,7,48077.7625
cuda,1048576,double-based,double,53,1048576,1.108300e-05,7,189222.4127
cuda,1048576,float-based,float,24,1048576,1.095100e-05,7,191503.2417
cuda,1048576,double-based,dd,106,1048576,2.896900e-05,7,72392.9718
cuda,1048576,double-based,td,159,1048576,3.720400e-05,7,56368.9926
cuda,1048576,double-based,qd,212,1048576,5.266400e-05,7,39821.3580
cuda,1048576,float-based,ds,48,1048576,1.431300e-05,7,146520.7853
cuda,1048576,float-based,ts,72,1048576,2.051100e-05,7,102245.2343
cuda,1048576,float-based,qs,96,1048576,2.772700e-05,7,75635.7341
cuda,4194304,double-based,double,53,4194304,3.560300e-05,7,235615.2010
cuda,4194304,float-based,float,24,4194304,2.676600e-05,7,313405.3650
