op,family,type,bits,N,nnz,gpu_sec,cpu_sec,cpu_backend,speedup,relerr,gpu_mflops,cpu_mflops
axpy,complex-mpc,cmpf106,106,4096,0,9.226700e-05,7.812587e-03,omp,84.674,0.000e+00,88.7858,1.0486
axpy,complex-mpc,cmpf106,106,16384,0,1.165770e-04,2.233348e-02,omp,191.577,0.000e+00,281.0846,1.4672
axpy,complex-mpc,cmpf106,106,65536,0,3.327050e-04,8.721908e-02,omp,262.151,0.000e+00,393.9586,1.5028
matvec,complex-mpc,cmpf106,106,128,0,8.610816e-03,1.902736e-02,omp,2.210,0.000e+00,3.8054,1.7222
matvec,complex-mpc,cmpf106,106,256,0,1.715241e-02,7.110646e-02,omp,4.146,0.000e+00,7.6416,1.8433
matvec,complex-mpc,cmpf106,106,512,0,3.608426e-02,2.722960e-01,omp,7.546,0.000e+00,14.5295,1.9254
matmul,complex-mpc,cmpf106,106,64,0,4.555547e-03,2.700187e-01,omp,59.273,0.000e+00,115.0878,1.9417
matmul,complex-mpc,cmpf106,106,128,0,3.639676e-02,2.123528e+00,omp,58.344,0.000e+00,115.2384,1.9752
matmul,complex-mpc,cmpf106,106,256,0,2.922225e-01,1.684055e+01,omp,57.629,0.000e+00,114.8249,1.9925
axpy,complex-mpc,cmpf212,212,4096,0,1.417760e-04,8.215719e-03,omp,57.949,0.000e+00,57.7813,0.9971
axpy,complex-mpc,cmpf212,212,16384,0,1.800520e-04,2.689253e-02,omp,149.360,0.000e+00,181.9919,1.2185
axpy,complex-mpc,cmpf212,212,65536,0,5.459880e-04,9.522889e-02,omp,174.416,0.000e+00,240.0639,1.3764
matvec,complex-mpc,cmpf212,212,128,0,1.290379e-02,1.872205e-02,omp,1.451,0.000e+00,2.5394,1.7502
matvec,complex-mpc,cmpf212,212,256,0,2.651029e-02,7.246736e-02,omp,2.734,0.000e+00,4.9442,1.8087
matvec,complex-mpc,cmpf212,212,512,0,5.580385e-02,2.898753e-01,omp,5.195,0.000e+00,9.3952,1.8087
matmul,complex-mpc,cmpf212,212,64,0,7.356224e-03,2.898398e-01,omp,39.401,0.000e+00,71.2713,1.8089
matmul,complex-mpc,cmpf212,212,128,0,5.788722e-02,2.276487e+00,omp,39.326,0.000e+00,72.4565,1.8424
matmul,complex-mpc,cmpf212,212,256,0,4.565780e-01,1.855106e+01,omp,40.631,0.000e+00,73.4911,1.8088
axpy,complex-mpc,cmpf424,424,4096,0,1.931440e-04,8.459274e-03,omp,43.798,0.000e+00,42.4140,0.9684
axpy,complex-mpc,cmpf424,424,16384,0,2.727850e-04,2.654471e-02,omp,97.310,0.000e+00,120.1239,1.2344
axpy,complex-mpc,cmpf424,424,65536,0,8.528090e-04,8.531846e-02,omp,100.044,0.000e+00,153.6944,1.5363
matvec,complex-mpc,cmpf424,424,128,0,1.805521e-02,1.798217e-02,omp,0.996,0.000e+00,1.8149,1.8222
matvec,complex-mpc,cmpf424,424,256,0,3.686405e-02,6.389154e-02,omp,1.733,0.000e+00,3.5556,2.0515
matvec,complex-mpc,cmpf424,424,512,0,7.359391e-02,2.589029e-01,omp,3.518,0.000e+00,7.1241,2.0250
matmul,complex-mpc,cmpf424,424,64,0,9.633904e-03,2.602442e-01,omp,27.013,0.000e+00,54.4211,2.0146
matmul,complex-mpc,cmpf424,424,128,0,7.553264e-02,2.003578e+00,omp,26.526,0.000e+00,55.5297,2.0934
matmul,complex-mpc,cmpf424,424,256,0,5.994196e-01,1.649690e+01,omp,27.521,0.000e+00,55.9782,2.0340
