op,family,type,bits,N,nnz,gpu_sec,cpu_sec,cpu_backend,speedup,relerr,gpu_mflops,cpu_mflops
matvec,double-based,dd,106,512,0,1.090980e-04,7.992772e-03,omp,73.262,0.000e+00,4805.6610,65.5953
matvec,double-based,td,159,512,0,4.085320e-04,6.994352e-03,omp,17.121,0.000e+00,1283.3462,74.9588
matvec,double-based,qd,212,512,0,5.607270e-04,7.998003e-03,omp,14.264,0.000e+00,935.0147,65.5524
matvec,float-based,ds,48,512,0,8.832400e-05,6.999465e-03,omp,79.248,9.191e-12,5935.9630,74.9040
matvec,float-based,ts,72,512,0,3.482830e-04,7.994386e-03,omp,22.954,0.000e+00,1505.3505,65.5820
matvec,float-based,qs,96,512,0,3.380530e-04,6.996678e-03,omp,20.697,0.000e+00,1550.9047,74.9338
matvec,double-based,dd,106,1024,0,2.137480e-04,6.980942e-03,omp,32.660,-1.000e+00,9811.3292,300.4110
matvec,double-based,td,159,1024,0,8.275690e-04,6.983099e-03,omp,8.438,-1.000e+00,2534.1114,300.3182
matvec,double-based,qd,212,1024,0,1.223379e-03,6.962402e-03,omp,5.691,-1.000e+00,1714.2292,301.2110
matvec,float-based,ds,48,1024,0,1.696070e-04,6.992802e-03,omp,41.229,-1.000e+00,12364.7727,299.9015
matvec,float-based,ts,72,1024,0,6.908060e-04,6.988288e-03,omp,10.116,-1.000e+00,3035.8046,300.0952
matvec,float-based,qs,96,1024,0,6.753320e-04,6.419005e-03,omp,9.505,-1.000e+00,3105.3645,326.7098
matvec,double-based,dd,106,2048,0,6.687390e-04,7.958823e-03,omp,11.901,-1.000e+00,12543.9192,1054.0011
matvec,double-based,td,159,2048,0,2.076035e-03,6.994405e-03,omp,3.369,-1.000e+00,4040.6872,1199.3312
matvec,double-based,qd,212,2048,0,2.699821e-03,7.036131e-03,omp,2.606,-1.000e+00,3107.0978,1192.2188
matvec,float-based,ds,48,2048,0,3.532530e-04,6.993597e-03,omp,19.798,-1.000e+00,23746.7424,1199.4697
matvec,float-based,ts,72,2048,0,1.434642e-03,6.978162e-03,omp,4.864,-1.000e+00,5847.1786,1202.1229
matvec,float-based,qs,96,2048,0,1.562130e-03,7.018434e-03,omp,4.493,-1.000e+00,5369.9807,1195.2250
matvec,double-based,dd,106,4096,0,1.273070e-03,6.995113e-03,omp,5.495,-1.000e+00,26357.0990,4796.8392
matvec,double-based,td,159,4096,0,4.002374e-03,7.994784e-03,omp,1.998,-1.000e+00,8383.6323,4197.0405
matvec,double-based,qd,212,4096,0,5.277987e-03,8.975126e-03,omp,1.700,-1.000e+00,6357.4298,3738.6029
matvec,float-based,ds,48,4096,0,7.391110e-04,6.512698e-03,omp,8.812,-1.000e+00,45398.3664,5152.1554
matvec,float-based,ts,72,4096,0,2.909101e-03,6.940759e-03,omp,2.386,-1.000e+00,11534.2960,4834.4038
matvec,float-based,qs,96,4096,0,3.071264e-03,8.044469e-03,omp,2.619,-1.000e+00,10925.2842,4171.1183
matmul,double-based,dd,106,256,0,1.661076e-02,7.023890e-03,omp,0.423,0.000e+00,2020.0417,4777.1864
matmul,double-based,td,159,256,0,5.127083e-02,7.918845e-03,omp,0.154,0.000e+00,654.4547,4237.2886
matmul,double-based,qd,212,256,0,7.097779e-02,1.492949e-02,omp,0.210,0.000e+00,472.7455,2247.5263
matmul,float-based,ds,48,256,0,1.554926e-02,7.974070e-03,omp,0.513,8.409e-10,2157.9436,4207.9430
matmul,float-based,ts,72,256,0,4.260949e-02,9.875874e-03,omp,0.232,0.000e+00,787.4874,3397.6165
matmul,float-based,qs,96,256,0,4.670889e-02,1.128451e-02,omp,0.242,0.000e+00,718.3736,2973.4956
matmul,double-based,dd,106,512,0,6.627706e-02,1.877459e-02,omp,0.283,0.000e+00,4050.2014,14297.8081
matmul,double-based,td,159,512,0,2.059241e-01,5.102736e-02,omp,0.248,0.000e+00,1303.5647,5260.6176
matmul,double-based,qd,212,512,0,2.840599e-01,7.885135e-02,omp,0.278,0.000e+00,944.9960,3404.3229
matmul,float-based,ds,48,512,0,6.185796e-02,1.846695e-02,omp,0.299,3.977e-10,4339.5457,14535.9954
matmul,float-based,ts,72,512,0,1.694980e-01,3.395256e-02,omp,0.200,0.000e+00,1583.7084,7906.1924
matmul,float-based,qs,96,512,0,1.865402e-01,5.441434e-02,omp,0.292,0.000e+00,1439.0222,4933.1750
matmul,double-based,dd,106,1024,0,2.997022e-01,2.139594e-01,omp,0.714,-1.000e+00,7165.3927,10036.8751
matmul,double-based,td,159,1024,0,9.391131e-01,6.081221e-01,omp,0.648,-1.000e+00,2286.7147,3531.3365
matmul,double-based,qd,212,1024,0,1.305313e+00,1.082914e+00,omp,0.830,-1.000e+00,1645.1873,1983.0598
matmul,float-based,ds,48,1024,0,2.481145e-01,1.813654e-01,omp,0.731,-1.000e+00,8655.2131,11840.6441
matmul,float-based,ts,72,1024,0,6.794011e-01,4.720455e-01,omp,0.695,-1.000e+00,3160.8479,4549.3154
matmul,float-based,qs,96,1024,0,7.711772e-01,7.614957e-01,omp,0.987,-1.000e+00,2784.6825,2820.0862
matmul,double-based,dd,106,2048,0,1.951643e+00,5.744018e+00,omp,2.943,-1.000e+00,8802.7727,2990.9148
matmul,double-based,td,159,2048,0,4.227272e+00,1.300586e+01,omp,3.077,-1.000e+00,4064.0556,1320.9331
matmul,double-based,qd,212,2048,0,5.595160e+00,2.437752e+01,omp,4.357,-1.000e+00,3070.4878,704.7423
matmul,float-based,ds,48,2048,0,1.567142e+00,2.910066e+00,omp,1.857,-1.000e+00,10962.5452,5903.6019
matmul,float-based,ts,72,2048,0,2.935088e+00,3.766360e+00,omp,1.283,-1.000e+00,5853.2729,4561.3991
matmul,float-based,qs,96,2048,0,3.820337e+00,6.240147e+00,omp,1.633,-1.000e+00,4496.9509,2753.1193
spmv,double-based,dd,106,4096,126736,1.723000e-05,7.367770e-03,omp,427.613,0.000e+00,14711.0853,34.4028
spmv,double-based,dd,106,16384,507664,1.741300e-05,7.036229e-03,omp,404.079,0.000e+00,58308.6200,144.3000
spmv,double-based,dd,106,65536,2031376,3.301400e-05,1.843699e-02,omp,558.460,0.000e+00,123061.4891,220.3587
spmv,double-based,dd,106,262144,8126224,1.268350e-04,4.491771e-01,omp,3541.428,0.000e+00,128138.5107,36.1827
spmv,double-based,td,159,4096,126736,2.823800e-05,6.996336e-03,omp,247.763,0.000e+00,8976.2731,36.2292
spmv,double-based,td,159,16384,507664,2.881800e-05,6.385998e-03,omp,221.598,0.000e+00,35232.4242,158.9928
spmv,double-based,td,159,65536,2031376,5.065000e-05,5.626989e-02,omp,1110.955,0.000e+00,80212.2804,72.2012
spmv,double-based,td,159,262144,8126224,1.795070e-04,7.989402e-01,omp,4450.747,0.000e+00,90539.3550,20.3425
spmv,double-based,qd,212,4096,126736,3.750800e-05,6.950379e-03,omp,185.304,0.000e+00,6757.8117,36.4688
spmv,double-based,qd,212,16384,507664,3.877500e-05,1.102191e-02,omp,284.253,0.000e+00,26185.1193,92.1191
spmv,double-based,qd,212,65536,2031376,6.545200e-05,8.022932e-02,omp,1225.773,0.000e+00,62072.2361,50.6392
spmv,double-based,qd,212,262144,8126224,2.373500e-04,1.362911e+00,omp,5742.200,0.000e+00,68474.6071,11.9248
spmv,float-based,ds,48,4096,126736,1.346000e-05,9.444710e-04,serial,70.169,2.130e-11,18831.5007,268.3746
spmv,float-based,ds,48,16384,507664,1.374600e-05,3.748074e-03,serial,272.667,6.304e-11,73863.5239,270.8933
spmv,float-based,ds,48,65536,2031376,1.735900e-05,1.076615e-02,serial,620.206,6.304e-11,234042.9748,377.3636
spmv,float-based,ds,48,262144,8126224,7.894300e-05,4.379345e-02,serial,554.748,2.029e-09,205875.7331,371.1159
spmv,float-based,ts,72,4096,126736,2.467900e-05,2.418541e-03,serial,98.000,0.000e+00,10270.7565,104.8037
spmv,float-based,ts,72,16384,507664,2.510400e-05,9.704358e-03,serial,386.566,0.000e+00,40444.8693,104.6260
spmv,float-based,ts,72,65536,2031376,3.715000e-05,2.791733e-02,serial,751.476,0.000e+00,109360.7537,145.5279
spmv,float-based,ts,72,262144,8126224,1.619180e-04,1.118679e-01,serial,690.892,0.000e+00,100374.5600,145.2825
spmv,float-based,qs,96,4096,126736,3.102100e-05,4.765880e-03,serial,153.634,0.000e+00,8170.9809,53.1847
spmv,float-based,qs,96,16384,507664,3.185700e-05,1.910285e-02,serial,599.644,0.000e+00,31871.4254,53.1506
spmv,float-based,qs,96,65536,2031376,5.563900e-05,5.495958e-02,serial,987.789,0.000e+00,73019.8602,73.9225
spmv,float-based,qs,96,262144,8126224,2.003670e-04,2.200792e-01,serial,1098.380,0.000e+00,81113.3969,73.8482
spmv,double-based,qd,212,4096,126736,3.750800e-05,6.950379e-03,omp,185.304,0.000e+00,6757.8117,36.4688
spmv,double-based,qd,212,16384,507664,3.877500e-05,1.102191e-02,omp,284.253,0.000e+00,26185.1193,92.1191
spmv,double-based,qd,212,65536,2031376,6.545200e-05,8.022932e-02,omp,1225.773,0.000e+00,62072.2361,50.6392
spmv,double-based,qd,212,262144,8126224,2.373500e-04,1.362911e+00,omp,5742.200,0.000e+00,68474.6071,11.9248
spmv,double-based,qd,212,4096,126736,3.750800e-05,6.950379e-03,omp,185.304,0.000e+00,6757.8117,36.4688
spmv,double-based,qd,212,16384,507664,3.877500e-05,1.102191e-02,omp,284.253,0.000e+00,26185.1193,92.1191
spmv,double-based,qd,212,65536,2031376,6.545200e-05,8.022932e-02,omp,1225.773,0.000e+00,62072.2361,50.6392
spmv,double-based,qd,212,262144,8126224,2.373500e-04,1.362911e+00,omp,5742.200,0.000e+00,68474.6071,11.9248
spmv,float-based,ds,48,4096,126736,1.266200e-05,6.653220e-04,serial,52.545,2.130e-11,20018.3225,380.9764
spmv,float-based,ds,48,16384,507664,1.294800e-05,2.668402e-03,serial,206.086,6.304e-11,78415.8171,380.5004
spmv,float-based,ds,48,65536,2031376,1.582100e-05,1.073032e-02,serial,678.233,6.304e-11,256794.8929,378.6237
spmv,float-based,ds,48,262144,8126224,7.716000e-05,4.324744e-02,serial,560.490,2.029e-09,210633.0741,375.8014
