backend,nthreads,family,type,bits,N,seconds,iters,mflops
cuda,4096,double-based,double,53,4096,5.872000e-06,5,1395.0954
cuda,4096,float-based,float,24,4096,5.648000e-06,5,1450.4249
cuda,4096,double-based,dd,106,4096,7.360000e-06,5,1113.0435
cuda,4096,double-based,td,159,4096,1.363200e-05,5,600.9390
cuda,4096,double-based,qd,212,4096,2.236800e-05,5,366.2375
cuda,4096,float-based,ds,48,4096,6.000000e-06,5,1365.3333
cuda,4096,float-based,ts,72,4096,6.176000e-06,5,1326.4249
cuda,4096,float-based,qs,96,4096,6.353000e-06,5,1289.4695
cuda,16384,double-based,double,53,16384,5.824000e-06,5,5626.3736
cuda,16384,float-based,float,24,16384,5.712000e-06,5,5736.6947
cuda,16384,double-based,dd,106,16384,8.800000e-06,5,3723.6364
cuda,16384,double-based,td,159,16384,2.124800e-05,5,1542.1687
cuda,16384,double-based,qd,212,16384,3.960000e-05,5,827.4747
cuda,16384,float-based,ds,48,16384,6.048000e-06,5,5417.9894
cuda,16384,float-based,ts,72,16384,6.352000e-06,5,5158.6902
cuda,16384,float-based,qs,96,16384,6.496000e-06,5,5044.3350
cuda,65536,double-based,double,53,65536,6.416000e-06,5,20428.9277
cuda,65536,float-based,float,24,65536,5.968000e-06,5,21962.4665
cuda,65536,double-based,dd,106,65536,1.558400e-05,5,8410.6776
cuda,65536,double-based,td,159,65536,5.228900e-05,5,2506.6840
cuda,65536,double-based,qd,212,65536,1.063680e-04,5,1232.2503
cuda,65536,float-based,ds,48,65536,8.000000e-06,5,16384.0000
cuda,65536,float-based,ts,72,65536,8.464000e-06,5,15485.8223
cuda,65536,float-based,qs,96,65536,9.312000e-06,5,14075.6014
