op,family,type,bits,N,nnz,gpu_sec,cpu_sec,cpu_backend,speedup,relerr,gpu_mflops,cpu_mflops
matvec,double-based,dd,106,128,0,1.091050e-04,5.406580e-04,omp,4.955,0.000e+00,300.3345,60.6076
matvec,double-based,td,159,128,0,5.083540e-04,4.692980e-04,omp,0.923,0.000e+00,64.4590,69.8234
matvec,double-based,qd,212,128,0,1.097171e-03,5.310570e-04,omp,0.484,0.000e+00,29.8659,61.7034
matvec,float-based,ds,48,128,0,1.628800e-05,4.959700e-04,omp,30.450,1.422e-12,2011.7878,66.0685
matvec,float-based,ts,72,128,0,5.188900e-05,4.271220e-04,omp,8.231,0.000e+00,631.5019,76.7181
matvec,float-based,qs,96,128,0,6.289600e-05,5.069460e-04,omp,8.060,0.000e+00,520.9870,64.6380
matvec,double-based,dd,106,256,0,3.916650e-04,4.266090e-04,omp,1.089,0.000e+00,334.6533,307.2415
matvec,double-based,td,159,256,0,1.953622e-03,4.024010e-04,omp,0.206,0.000e+00,67.0918,325.7248
matvec,double-based,qd,212,256,0,4.244909e-03,4.536180e-04,omp,0.107,0.000e+00,30.8775,288.9480
matvec,float-based,ds,48,256,0,3.489600e-05,3.910260e-04,omp,11.205,2.238e-12,3756.0752,335.2002
matvec,float-based,ts,72,256,0,1.340970e-04,3.572490e-04,omp,2.664,0.000e+00,977.4417,366.8926
matvec,float-based,qs,96,256,0,1.390720e-04,5.751370e-04,omp,4.136,0.000e+00,942.4758,227.8970
matvec,double-based,dd,106,512,0,7.759230e-04,4.633450e-04,omp,0.597,-1.000e+00,675.6959,1131.5283
matvec,double-based,td,159,512,0,3.900413e-03,6.084970e-04,omp,0.156,-1.000e+00,134.4186,861.6115
matvec,double-based,qd,212,512,0,8.489147e-03,7.179700e-04,omp,0.085,-1.000e+00,61.7598,730.2366
matvec,float-based,ds,48,512,0,6.403200e-05,4.419380e-04,omp,6.902,-1.000e+00,8187.9060,1186.3384
matvec,float-based,ts,72,512,0,2.650090e-04,3.814580e-04,omp,1.439,-1.000e+00,1978.3781,1374.4318
matvec,float-based,qs,96,512,0,2.752320e-04,5.455540e-04,omp,1.982,-1.000e+00,1904.8948,961.0194
matmul,double-based,dd,106,64,0,2.885673e-03,4.660820e-04,omp,0.162,0.000e+00,181.6866,1124.8836
matmul,double-based,td,159,64,0,1.453059e-02,6.302900e-04,omp,0.043,0.000e+00,36.0817,831.8203
matmul,double-based,qd,212,64,0,3.097690e-02,9.404990e-04,omp,0.030,0.000e+00,16.9251,557.4573
matmul,float-based,ds,48,64,0,2.052010e-04,4.589780e-04,omp,2.237,0.000e+00,2554.9973,1142.2944
matmul,float-based,ts,72,64,0,1.372741e-03,5.840500e-04,omp,0.425,0.000e+00,381.9278,897.6766
matmul,float-based,qs,96,64,0,1.760245e-03,9.054740e-04,omp,0.514,0.000e+00,297.8494,579.0205
matmul,double-based,dd,106,128,0,1.342391e-02,6.299220e-04,omp,0.047,0.000e+00,312.4502,6658.4498
matmul,double-based,td,159,128,0,6.623545e-02,1.865830e-03,omp,0.028,0.000e+00,63.3242,2247.9561
matmul,double-based,qd,212,128,0,1.381018e-01,3.157017e-03,omp,0.023,0.000e+00,30.3711,1328.5655
matmul,float-based,ds,48,128,0,1.078852e-03,8.674430e-04,omp,0.804,0.000e+00,3887.7473,4835.2503
matmul,float-based,ts,72,128,0,6.583252e-03,1.072564e-03,omp,0.163,0.000e+00,637.1173,3910.5396
matmul,float-based,qs,96,128,0,8.168537e-03,1.658053e-03,omp,0.203,0.000e+00,513.4706,2529.6562
matmul,double-based,dd,106,256,0,9.839368e-02,3.181818e-03,omp,0.032,0.000e+00,341.0222,10545.6792
matmul,double-based,td,159,256,0,4.988303e-01,1.115787e-02,omp,0.022,0.000e+00,67.2662,3007.2421
matmul,double-based,qd,212,256,0,1.086349e+00,2.050635e-02,omp,0.019,0.000e+00,30.8873,1636.2945
matmul,float-based,ds,48,256,0,7.418615e-03,1.988310e-03,omp,0.268,0.000e+00,4523.0049,16875.8554
matmul,float-based,ts,72,256,0,3.261613e-02,5.896723e-03,omp,0.181,0.000e+00,1028.7679,5690.3524
matmul,float-based,qs,96,256,0,3.857034e-02,1.053341e-02,omp,0.273,0.000e+00,869.9542,3185.5245
