op,kind,type,bits,N,gpu_sec,gpu_mflops,relerr
axpy,freal,freal,32,4096,9.104000e-06,899.8243,8.589e-07
axpy,freal,freal,32,16384,1.209600e-05,2708.9947,8.589e-07
axpy,freal,freal,32,65536,2.353600e-05,5569.0007,1.239e-05
matvec,freal,freal,32,128,2.856960e-04,114.6953,3.964e-07
matvec,freal,freal,32,256,5.451360e-04,240.4391,1.197e-07
matvec,freal,freal,32,512,1.026271e-03,510.8670,1.058e-07
matmul,freal,freal,32,64,1.588960e-04,3299.5670,1.813e-06
matmul,freal,freal,32,128,3.602230e-04,11643.6319,2.789e-06
matmul,freal,freal,32,256,2.333022e-03,14382.3899,8.061e-06
axpy,freal,freal,64,4096,9.200000e-06,890.4348,0.000e+00
axpy,freal,freal,64,16384,1.248000e-05,2625.6410,0.000e+00
axpy,freal,freal,64,65536,2.459200e-05,5329.8634,0.000e+00
matvec,freal,freal,64,128,2.989270e-04,109.6187,3.542e-14
matvec,freal,freal,64,256,5.722880e-04,229.0315,8.405e-14
matvec,freal,freal,64,512,1.074079e-03,488.1280,4.795e-14
matmul,freal,freal,64,64,1.655840e-04,3166.2963,2.041e-12
matmul,freal,freal,64,128,4.202070e-04,9981.5186,1.078e-12
matmul,freal,freal,64,256,2.701118e-03,12422.4236,1.357e-11
axpy,freal,freal,96,4096,9.392000e-06,872.2317,0.000e+00
axpy,freal,freal,96,16384,1.345600e-05,2435.1962,0.000e+00
axpy,freal,freal,96,65536,2.795200e-05,4689.1815,0.000e+00
matvec,freal,freal,96,128,3.140160e-04,104.3514,3.542e-14
matvec,freal,freal,96,256,6.001920e-04,218.3835,8.405e-14
matvec,freal,freal,96,512,1.128239e-03,464.6959,4.795e-14
matmul,freal,freal,96,64,1.771840e-04,2959.0031,2.041e-12
matmul,freal,freal,96,128,4.915350e-04,8533.0729,1.078e-12
matmul,freal,freal,96,256,3.152542e-03,10643.6114,1.357e-11
axpy,freal,freal,128,4096,9.360000e-06,875.2137,0.000e+00
axpy,freal,freal,128,16384,1.412800e-05,2319.3658,0.000e+00
axpy,freal,freal,128,65536,3.073600e-05,4264.4456,0.000e+00
matvec,freal,freal,128,128,3.070720e-04,106.7111,3.542e-14
matvec,freal,freal,128,256,5.859990e-04,223.6727,8.405e-14
matvec,freal,freal,128,512,1.100831e-03,476.2657,4.795e-14
matmul,freal,freal,128,64,1.727830e-04,3034.3726,2.041e-12
matmul,freal,freal,128,128,5.536470e-04,7575.7730,1.078e-12
matmul,freal,freal,128,256,4.028204e-03,8329.8741,1.357e-11
axpy,freal,freal,160,4096,9.696000e-06,844.8845,0.000e+00
axpy,freal,freal,160,16384,1.412800e-05,2319.3658,0.000e+00
axpy,freal,freal,160,65536,3.200000e-05,4096.0000,0.000e+00
matvec,freal,freal,160,128,3.440960e-04,95.2292,3.542e-14
matvec,freal,freal,160,256,6.588960e-04,198.9267,8.405e-14
matvec,freal,freal,160,512,1.236095e-03,424.1486,4.795e-14
matmul,freal,freal,160,64,1.891840e-04,2771.3126,2.041e-12
matmul,freal,freal,160,128,5.433920e-04,7718.7445,1.078e-12
matmul,freal,freal,160,256,3.722877e-03,9013.0380,1.357e-11
axpy,freal,freal,224,4096,9.856000e-06,831.1688,0.000e+00
axpy,freal,freal,224,16384,1.520000e-05,2155.7895,0.000e+00
axpy,freal,freal,224,65536,3.742400e-05,3502.3514,0.000e+00
matvec,freal,freal,224,128,3.576000e-04,91.6331,3.542e-14
matvec,freal,freal,224,256,6.836310e-04,191.7292,8.405e-14
matvec,freal,freal,224,512,1.281711e-03,409.0532,4.795e-14
matmul,freal,freal,224,64,2.001920e-04,2618.9258,2.041e-12
matmul,freal,freal,224,128,6.384800e-04,6569.2019,1.078e-12
matmul,freal,freal,224,256,4.448604e-03,7542.6880,1.357e-11
