op,kind,type,bits,N,gpu_sec,gpu_mflops,relerr
axpy,native,double,53,4096,6.000000e-06,1365.3333,0.000e+00
axpy,native,float,24,4096,5.776000e-06,1418.2825,0.000e+00
axpy,native,double,53,16384,6.064000e-06,5403.6939,0.000e+00
axpy,native,float,24,16384,5.776000e-06,5673.1302,0.000e+00
axpy,native,double,53,65536,6.512000e-06,20127.7641,0.000e+00
axpy,native,float,24,65536,6.288000e-06,20844.7837,0.000e+00
matvec,native,double,53,128,1.547200e-05,2117.8904,0.000e+00
matvec,native,float,24,128,1.329600e-05,2464.5006,0.000e+00
matvec,native,double,53,256,2.508800e-05,5224.4898,0.000e+00
matvec,native,float,24,256,2.038400e-05,6430.1413,0.000e+00
matvec,native,double,53,512,4.417600e-05,11868.1637,0.000e+00
matvec,native,float,24,512,3.470400e-05,15107.4228,0.000e+00
matmul,native,double,53,64,1.272000e-05,41217.6101,0.000e+00
matmul,native,float,24,64,7.904000e-06,66331.9838,0.000e+00
matmul,native,double,53,128,3.073600e-05,136462.2592,0.000e+00
matmul,native,float,24,128,9.984000e-06,420102.5641,0.000e+00
matmul,native,double,53,256,2.093450e-04,160282.9396,0.000e+00
matmul,native,float,24,256,3.161700e-05,1061278.1731,0.000e+00
axpy,mpfr,mpfr,24,4096,1.628800e-05,502.9470,2.721e-04
axpy,mpfr,mpfr,24,16384,4.206400e-05,779.0034,2.721e-04
axpy,mpfr,mpfr,24,65536,1.308320e-04,1001.8344,2.168e-03
matvec,mpfr,mpfr,24,128,7.596340e-04,43.1366,1.530e-05
matvec,mpfr,mpfr,24,256,1.513605e-03,86.5959,6.852e-06
matvec,mpfr,mpfr,24,512,3.013674e-03,173.9697,3.187e-05
matmul,mpfr,mpfr,24,64,5.330730e-04,983.5201,9.918e-04
matmul,mpfr,mpfr,24,128,3.257146e-03,1287.7237,4.729e-04
matmul,mpfr,mpfr,24,256,2.346737e-02,1429.8336,3.030e-03
axpy,mpfr,mpfr,48,4096,1.592000e-05,514.5729,5.936e-12
axpy,mpfr,mpfr,48,16384,4.328000e-05,757.1165,6.738e-12
axpy,mpfr,mpfr,48,65536,1.327520e-04,987.3448,1.004e-10
matvec,mpfr,mpfr,48,128,7.939540e-04,41.2719,3.934e-12
matvec,mpfr,mpfr,48,256,1.579669e-03,82.9743,1.424e-12
matvec,mpfr,mpfr,48,512,3.154746e-03,166.1902,1.195e-12
matmul,mpfr,mpfr,48,64,5.358100e-04,978.4961,5.734e-11
matmul,mpfr,mpfr,48,128,3.592619e-03,1167.4781,3.647e-11
matmul,mpfr,mpfr,48,256,2.384727e-02,1407.0552,4.363e-10
axpy,mpfr,mpfr,53,4096,1.502400e-05,545.2609,2.047e-13
axpy,mpfr,mpfr,53,16384,3.897600e-05,840.7225,2.047e-13
axpy,mpfr,mpfr,53,65536,1.203840e-04,1088.7826,4.701e-13
matvec,mpfr,mpfr,53,128,6.734260e-04,48.6586,9.545e-14
matvec,mpfr,mpfr,53,256,1.362213e-03,96.2199,4.136e-14
matvec,mpfr,mpfr,53,512,2.740360e-03,191.3208,3.123e-14
matmul,mpfr,mpfr,53,64,4.910410e-04,1067.7072,6.339e-13
matmul,mpfr,mpfr,53,128,2.850809e-03,1471.2680,1.178e-12
matmul,mpfr,mpfr,53,256,2.228277e-02,1505.8463,3.610e-12
axpy,mpfr,mpfr,72,4096,1.580800e-05,518.2186,0.000e+00
axpy,mpfr,mpfr,72,16384,4.305600e-05,761.0554,0.000e+00
axpy,mpfr,mpfr,72,65536,1.290560e-04,1015.6211,0.000e+00
matvec,mpfr,mpfr,72,128,7.410100e-04,44.2207,3.542e-14
matvec,mpfr,mpfr,72,256,1.549445e-03,84.5929,8.405e-14
matvec,mpfr,mpfr,72,512,3.057434e-03,171.4797,4.795e-14
matmul,mpfr,mpfr,72,64,5.634100e-04,930.5621,2.041e-12
matmul,mpfr,mpfr,72,128,3.700411e-03,1133.4698,1.078e-12
matmul,mpfr,mpfr,72,256,2.468212e-02,1359.4629,1.357e-11
axpy,mpfr,mpfr,96,4096,1.577600e-05,519.2698,0.000e+00
axpy,mpfr,mpfr,96,16384,4.331200e-05,756.5571,0.000e+00
axpy,mpfr,mpfr,96,65536,1.323680e-04,990.2091,0.000e+00
matvec,mpfr,mpfr,96,128,8.001940e-04,40.9501,3.542e-14
matvec,mpfr,mpfr,96,256,1.612485e-03,81.2857,8.405e-14
matvec,mpfr,mpfr,96,512,3.172634e-03,165.2532,4.795e-14
matmul,mpfr,mpfr,96,64,5.458090e-04,960.5705,2.041e-12
matmul,mpfr,mpfr,96,128,3.624107e-03,1157.3345,1.078e-12
matmul,mpfr,mpfr,96,256,2.512786e-02,1335.3480,1.357e-11
axpy,mpfr,mpfr,106,4096,1.555200e-05,526.7490,0.000e+00
axpy,mpfr,mpfr,106,16384,4.252800e-05,770.5041,0.000e+00
axpy,mpfr,mpfr,106,65536,1.298560e-04,1009.3642,0.000e+00
matvec,mpfr,mpfr,106,128,6.784820e-04,48.2960,3.542e-14
matvec,mpfr,mpfr,106,256,1.408692e-03,93.0452,8.405e-14
matvec,mpfr,mpfr,106,512,2.850729e-03,183.9137,4.795e-14
matmul,mpfr,mpfr,106,64,4.734420e-04,1107.3965,2.041e-12
matmul,mpfr,mpfr,106,128,3.446106e-03,1217.1140,1.078e-12
matmul,mpfr,mpfr,106,256,2.360806e-02,1421.3127,1.357e-11
axpy,mpfr,mpfr,159,4096,1.776000e-05,461.2613,0.000e+00
