op,prec,dim,nnz,cpu_time,gpu_time,cpu_kind,relerr
matmul,d,128,0,0.000669357,0.001230925,omp,0.000000e+00
matmul,d,256,0,0.0019934,0.004880167,omp,0.000000e+00
matmul,d,512,0,0.016784681,0.019397903,omp,0.000000e+00
matmul,d,1024,0,0.075718369,0.084435485,omp,0.000000e+00
matmul,d,2048,0,1.03448067,0.945672412,omp,0.000000e+00
matmul,f,128,0,0.000340438,0.000957782,serial,2.278235e-07
matmul,f,256,0,0.00743402,0.003635116,serial,3.176498e-07
matmul,f,512,0,0.071989768,0.014493267,serial,4.454438e-07
matmul,f,1024,0,1.14689346,0.057895963,serial,6.298757e-07
matmul,f,2048,0,12.9430811,0.305825882,serial,8.872312e-07
matmul,cd,128,0,0.00118714,0.004119647,serial,0.000000e+00
matmul,cd,256,0,0.017528261,0.016349872,serial,0.000000e+00
matmul,cd,512,0,0.166565072,0.065338449,serial,0.000000e+00
matmul,cd,1024,0,2.26194373,0.333468467,serial,0.000000e+00
matmul,cd,2048,0,26.9368207,2.79110737,serial,0.000000e+00
matmul,cf,128,0,0.00119862,0.00258423,serial,2.106023e-07
matmul,cf,256,0,0.017745633,0.010250011,serial,2.907867e-07
matmul,cf,512,0,0.166390271,0.040863435,serial,4.073865e-07
matmul,cf,1024,0,2.27248407,0.170619606,serial,5.759512e-07
matmul,cf,2048,0,30.3031116,1.58006488,serial,8.114758e-07
matmul,dd,128,0,0.0015944,0.013494455,omp,9.694690e-32
matmul,dd,256,0,0.00967723,0.053907346,omp,1.983690e-31
matmul,dd,512,0,0.042662629,0.215517207,omp,4.096600e-31
matmul,dd,1024,0,0.212703018,0.920632199,omp,8.237112e-31
matmul,td,128,0,0.00658499,0.066599128,omp,0.000000e+00
matmul,td,256,0,0.028851943,0.266818887,omp,0.000000e+00
matmul,td,512,0,0.123591714,1.07224115,omp,0.000000e+00
matmul,td,1024,0,0.917817075,4.46801361,omp,0.000000e+00
matmul,qd,128,0,0.011761152,0.139449071,omp,0.000000e+00
matmul,qd,256,0,0.050878037,0.556817269,omp,0.000000e+00
matmul,qd,512,0,0.193823503,2.32655194,omp,0.000000e+00
matmul,qd,1024,0,1.07176004,9.38241431,omp,0.000000e+00
matmul,ds,128,0,0.003957711,0.00107936,omp,3.038743e-14
matmul,ds,256,0,0.006746431,0.004285615,omp,6.024734e-14
matmul,ds,512,0,0.027878492,0.017217553,omp,1.234323e-13
matmul,ds,1024,0,0.13126142,0.076140925,omp,2.428962e-13
matmul,ts,128,0,0.004546069,0.006610903,omp,0.000000e+00
matmul,ts,256,0,0.019508835,0.026448267,omp,0.000000e+00
matmul,ts,512,0,0.089189581,0.105523209,omp,0.000000e+00
matmul,ts,1024,0,0.41736379,0.508287302,omp,0.000000e+00
matmul,qs,128,0,0.008190292,0.008212244,omp,0.000000e+00
matmul,qs,256,0,0.036563051,0.032916851,omp,0.000000e+00
matmul,qs,512,0,0.150677152,0.131502851,omp,0.000000e+00
matmul,qs,1024,0,0.784419322,0.653827146,omp,0.000000e+00
matmul,cdd,128,0,0.004269025,0.057471975,omp,1.000703e-31
matmul,cdd,256,0,0.037661256,0.230021802,omp,2.031861e-31
matmul,cdd,512,0,0.196190507,0.944634264,omp,4.090650e-31
matmul,cdd,1024,0,0.831547724,4.22690655,omp,8.196446e-31
matmul,ctd,128,0,0.026631968,0.248991446,omp,0.000000e+00
matmul,ctd,256,0,0.110969286,0.995517464,omp,0.000000e+00
matmul,ctd,512,0,0.514846293,4.08746107,omp,0.000000e+00
matmul,ctd,1024,0,2.61765867,16.4169376,omp,0.000000e+00
matmul,cqd,128,0,0.04070663,0.545192908,omp,0.000000e+00
matmul,cqd,256,0,0.207279245,2.18445069,omp,0.000000e+00
matmul,cqd,512,0,0.786418427,8.80902926,omp,0.000000e+00
matmul,cqd,1024,0,4.7444816,35.521689,omp,0.000000e+00
matmul,cds,128,0,0.029988051,0.004482843,serial,0.000000e+00
matmul,cds,256,0,0.248642631,0.017816938,serial,0.000000e+00
matmul,cds,512,0,2.02738695,0.071682331,serial,0.000000e+00
matmul,cds,1024,0,16.3926604,0.346629916,serial,0.000000e+00
matmul,cts,128,0,0.129059656,0.009253194,serial,0.000000e+00
matmul,cts,256,0,1.02257091,0.036990488,serial,0.000000e+00
matmul,cts,512,0,8.14378742,0.154842572,serial,0.000000e+00
matmul,cqs,128,0,0.367504692,0.015189409,serial,0.000000e+00
matmul,cqs,256,0,2.94729058,0.06108524,serial,0.000000e+00
matmul,cqs,512,0,23.7368107,0.264958367,serial,0.000000e+00
