op,prec,dim,nnz,cpu_time,gpu_time,cpu_kind,relerr
matmul,d,128,0,0.000809441,0.001230393,omp,0.000000e+00
matvec,d,128,0,0.000663252,1.392e-05,omp,4.555011e-16
matmul,d,256,0,0.002078794,0.004885398,omp,0.000000e+00
matvec,d,256,0,0.000570261,2.1536e-05,omp,5.942417e-16
matmul,d,512,0,0.017012345,0.019405374,omp,0.000000e+00
matvec,d,512,0,0.000752546,3.6432e-05,omp,7.605201e-16
matmul,d,1024,0,0.077747463,0.084609162,omp,0.000000e+00
matvec,d,1024,0,0.000777841,6.6703e-05,omp,1.141894e-15
axpy,d,4096,0,1.136e-06,7.2e-06,omp,0.000000e+00
axpy,d,16384,0,4.784e-06,7.008e-06,omp,0.000000e+00
axpy,d,65536,0,1.9296e-05,6.88e-06,omp,0.000000e+00
axpy,d,262144,0,8.1151e-05,9.824e-06,omp,0.000000e+00
axpy,d,1048576,0,0.000404648,2.9855e-05,omp,0.000000e+00
matmul,f,128,0,0.000345914,0.000957502,serial,2.278235e-07
matvec,f,128,0,1.376e-06,1.2928e-05,serial,2.019029e-07
matmul,f,256,0,0.007534679,0.003635022,serial,3.176498e-07
matvec,f,256,0,6.192e-06,1.9968e-05,serial,3.277911e-07
matmul,f,512,0,0.07191317,0.014489384,serial,4.454438e-07
matvec,f,512,0,2.6592e-05,3.408e-05,serial,4.283389e-07
matmul,f,1024,0,1.16628188,0.058106061,serial,6.298757e-07
matvec,f,1024,0,0.00013755,6.2927e-05,serial,6.167006e-07
axpy,f,4096,0,2.88e-07,5.76e-06,serial,0.000000e+00
axpy,f,16384,0,1.104e-06,5.903e-06,serial,0.000000e+00
axpy,f,65536,0,4.592e-06,6.304e-06,serial,0.000000e+00
axpy,f,262144,0,1.8512e-05,8.336e-06,serial,0.000000e+00
axpy,f,1048576,0,0.000217244,1.5584e-05,serial,0.000000e+00
matmul,cd,128,0,0.001195755,0.004128165,serial,0.000000e+00
matvec,cd,128,0,0.002186376,3.2927e-05,omp,4.788658e-16
