op,prec,dim,nnz,cpu_time,gpu_time,cpu_kind,relerr
axpy,dd,4096,0,1.296e-06,6.272e-06,omp,0.000000e+00
axpy,dd,16384,0,5.12e-06,6.897e-06,omp,0.000000e+00
axpy,dd,65536,0,2.0545e-05,9.536e-06,omp,0.000000e+00
axpy,dd,262144,0,9.0131e-05,2.1393e-05,omp,0.000000e+00
axpy,dd,1048576,0,0.000409834,0.000155539,omp,0.000000e+00
axpy,td,4096,0,6.08e-06,7.857e-06,omp,0.000000e+00
axpy,td,16384,0,2.3985e-05,1.0656e-05,omp,0.000000e+00
axpy,td,65536,0,9.6226e-05,2.3888e-05,omp,0.000000e+00
axpy,td,262144,0,0.000390025,7.7025e-05,omp,0.000000e+00
axpy,td,1048576,0,0.001669254,0.000294471,omp,0.000000e+00
axpy,qd,4096,0,1.624e-05,1.0736e-05,omp,0.000000e+00
axpy,qd,16384,0,6.3217e-05,1.8896e-05,omp,0.000000e+00
axpy,qd,65536,0,0.000266566,5.4369e-05,omp,0.000000e+00
axpy,qd,262144,0,0.001045013,0.0002025,omp,0.000000e+00
axpy,qd,1048576,0,0.004436152,0.000793887,omp,0.000000e+00
axpy,ds,4096,0,6.56e-07,6.001e-06,omp,0.000000e+00
axpy,ds,16384,0,2.592e-06,5.104e-06,omp,0.000000e+00
axpy,ds,65536,0,1.0256e-05,6.496e-06,omp,0.000000e+00
axpy,ds,262144,0,4.3857e-05,9.84e-06,omp,0.000000e+00
axpy,ds,1048576,0,0.000183651,2.208e-05,omp,0.000000e+00
axpy,ts,4096,0,3.008e-06,6.369e-06,omp,0.000000e+00
axpy,ts,16384,0,1.2496e-05,6.24e-06,omp,0.000000e+00
axpy,ts,65536,0,4.8241e-05,7.665e-06,omp,0.000000e+00
axpy,ts,262144,0,0.000193891,1.1584e-05,omp,0.000000e+00
axpy,ts,1048576,0,0.00081715,8.8898e-05,omp,0.000000e+00
axpy,qs,4096,0,8.145e-06,6.464e-06,omp,0.000000e+00
axpy,qs,16384,0,3.16e-05,6.272e-06,omp,0.000000e+00
axpy,qs,65536,0,0.000134162,8.048e-06,omp,0.000000e+00
axpy,qs,262144,0,0.000511256,1.3216e-05,omp,0.000000e+00
axpy,qs,1048576,0,0.002212767,0.00015533,omp,0.000000e+00
matvec,dd,128,0,0.000609192,0.000108946,omp,2.603560e-32
matvec,dd,256,0,0.000674009,0.00021221,omp,4.690842e-32
matvec,dd,512,0,0.000517367,0.000417541,omp,6.043425e-32
matvec,dd,1024,0,0.000711801,0.000829322,omp,9.651838e-32
matvec,td,128,0,0.000659624,0.000508438,omp,0.000000e+00
matvec,td,256,0,0.000359604,0.001013884,omp,0.000000e+00
matvec,td,512,0,0.000807418,0.002021113,omp,0.000000e+00
matvec,td,1024,0,0.001336513,0.004180258,omp,0.000000e+00
matvec,qd,128,0,0.000680552,0.001096205,omp,0.000000e+00
matvec,qd,256,0,0.000562055,0.00219265,omp,0.000000e+00
matvec,qd,512,0,0.001080605,0.004381299,omp,0.000000e+00
matvec,qd,1024,0,0.002123993,0.008983124,omp,0.000000e+00
matvec,ds,128,0,0.000507317,1.5712e-05,omp,0.000000e+00
matvec,ds,256,0,0.000635943,2.5457e-05,omp,0.000000e+00
matvec,ds,512,0,0.001512049,4.392e-05,omp,0.000000e+00
matvec,ds,1024,0,0.000712104,8.0769e-05,omp,6.869703e-28
matvec,ts,128,0,0.000567734,5.1441e-05,omp,0.000000e+00
matvec,ts,256,0,0.000707416,9.7569e-05,omp,0.000000e+00
matvec,ts,512,0,0.000729864,0.000189362,omp,0.000000e+00
matvec,ts,1024,0,0.000874713,0.000372676,omp,0.000000e+00
matvec,qs,128,0,0.000490549,6.2608e-05,omp,0.000000e+00
matvec,qs,256,0,0.001078827,0.000119617,omp,0.000000e+00
matvec,qs,512,0,0.00056551,0.000232707,omp,0.000000e+00
matvec,qs,1024,0,0.00133323,0.000459397,omp,0.000000e+00
matmul,dd,128,0,0.003059246,0.013430435,omp,9.694690e-32
matmul,dd,256,0,0.009989025,0.053664728,omp,1.983690e-31
matmul,dd,512,0,0.050202357,0.214793745,omp,4.096600e-31
matmul,dd,1024,0,0.227869571,0.919069249,omp,8.237112e-31
matmul,td,128,0,0.006906877,0.066299435,omp,0.000000e+00
