platform,host,cpu,cpu_threads,gpu,gpu_arch,cuda,compiler,lib,op,kernel,prec,base,ncomp,prec_bits,dim,nnz,cpu_time,gpu_time,speedup,cpu_kind,relerr,fma,tree,date
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),dd,binary64,2,106,4096,0,1.296e-06,6.272e-06,0.2066,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),dd,binary64,2,106,16384,0,5.12e-06,6.897e-06,0.7424,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),dd,binary64,2,106,65536,0,2.0545e-05,9.536e-06,2.1545,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),dd,binary64,2,106,262144,0,9.0131e-05,2.1393e-05,4.2131,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),dd,binary64,2,106,1048576,0,0.000409834,0.000155539,2.6349,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),td,binary64,3,159,4096,0,6.08e-06,7.857e-06,0.7738,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),td,binary64,3,159,16384,0,2.3985e-05,1.0656e-05,2.2508,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),td,binary64,3,159,65536,0,9.6226e-05,2.3888e-05,4.0282,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),td,binary64,3,159,262144,0,0.000390025,7.7025e-05,5.0636,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),td,binary64,3,159,1048576,0,0.001669254,0.000294471,5.6687,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qd,binary64,4,212,4096,0,1.624e-05,1.0736e-05,1.5127,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qd,binary64,4,212,16384,0,6.3217e-05,1.8896e-05,3.3455,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qd,binary64,4,212,65536,0,0.000266566,5.4369e-05,4.9029,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qd,binary64,4,212,262144,0,0.001045013,0.0002025,5.1606,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
arm-gb10,spark-d762,Arm Cortex-X925 / Cortex-A725 (NVIDIA GB10 Grace-Blackwell),20,NVIDIA GB10,sm_121,13.0,gcc (Ubuntu 13.3.0-6ubuntu2~24.04.1) 13.3.0,gdtq,axpy,c = alpha*a  (SCAL; no fused AXPY kernel in the GPU lib),qd,binary64,4,212,1048576,0,0.004436152,0.000793887,5.5879,omp,0.000000e+00,pre-FMA,bncmatmul-0.24,2026-07-30
