op,kind,type,bits,N,gpu_sec,gpu_mflops,relerr
axpy,native,double,53,4096,1.058300e-05,774.0716,0.000e+00
axpy,native,float,24,4096,1.068400e-05,766.7540,0.000e+00
axpy,native,double,53,16384,1.040600e-05,3148.9525,0.000e+00
axpy,native,float,24,16384,1.047000e-05,3129.7039,0.000e+00
axpy,native,double,53,65536,1.101300e-05,11901.5709,0.000e+00
axpy,native,float,24,65536,1.084100e-05,12090.3976,0.000e+00
matvec,native,double,53,128,2.120000e-05,1545.6604,0.000e+00
matvec,native,float,24,128,2.064400e-05,1587.2893,0.000e+00
matvec,native,double,53,256,3.119400e-05,4201.8337,0.000e+00
matvec,native,float,24,256,3.004700e-05,4362.2325,0.000e+00
matvec,native,double,53,512,5.165800e-05,10149.2121,0.000e+00
matvec,native,float,24,512,4.889000e-05,10723.8290,0.000e+00
matmul,native,double,53,64,1.519900e-05,34494.9010,0.000e+00
matmul,native,float,24,64,1.302400e-05,40255.5283,0.000e+00
matmul,native,double,53,128,2.191000e-05,191433.3181,0.000e+00
matmul,native,float,24,128,1.724700e-05,243190.3519,0.000e+00
matmul,native,double,53,256,5.757700e-05,582774.9275,0.000e+00
matmul,native,float,24,256,3.937800e-05,852111.1280,0.000e+00
axpy,mpfr,mpfr,24,4096,2.110100e-05,388.2280,2.721e-04
axpy,mpfr,mpfr,24,16384,3.140800e-05,1043.3011,2.721e-04
axpy,mpfr,mpfr,24,65536,8.294000e-05,1580.3231,2.168e-03
matvec,mpfr,mpfr,24,128,9.501860e-04,34.4859,1.530e-05
matvec,mpfr,mpfr,24,256,1.843148e-03,71.1131,6.852e-06
matvec,mpfr,mpfr,24,512,3.659700e-03,143.2598,3.187e-05
matmul,mpfr,mpfr,24,64,4.893130e-04,1071.4778,9.918e-04
matmul,mpfr,mpfr,24,128,2.415000e-03,1736.7718,4.729e-04
matmul,mpfr,mpfr,24,256,1.628167e-02,2060.8714,3.030e-03
axpy,mpfr,mpfr,48,4096,2.255700e-05,363.1689,5.731e-12
axpy,mpfr,mpfr,48,16384,3.444000e-05,951.4518,6.738e-12
axpy,mpfr,mpfr,48,65536,8.908600e-05,1471.2974,1.004e-10
matvec,mpfr,mpfr,48,128,9.688570e-04,33.8213,4.029e-12
matvec,mpfr,mpfr,48,256,1.881099e-03,69.6784,1.400e-12
matvec,mpfr,mpfr,48,512,3.739531e-03,140.2015,1.219e-12
matmul,mpfr,mpfr,48,64,5.019630e-04,1044.4754,5.753e-11
matmul,mpfr,mpfr,48,128,2.382312e-03,1760.6023,3.736e-11
matmul,mpfr,mpfr,48,256,1.685877e-02,1990.3249,4.327e-10
axpy,mpfr,mpfr,53,4096,1.971200e-05,415.5844,0.000e+00
axpy,mpfr,mpfr,53,16384,2.791100e-05,1174.0174,0.000e+00
axpy,mpfr,mpfr,53,65536,6.975100e-05,1879.1415,0.000e+00
matvec,mpfr,mpfr,53,128,8.346870e-04,39.2578,0.000e+00
matvec,mpfr,mpfr,53,256,1.616339e-03,81.0919,0.000e+00
matvec,mpfr,mpfr,53,512,3.228092e-03,162.4142,0.000e+00
matmul,mpfr,mpfr,53,64,4.292020e-04,1221.5414,0.000e+00
matmul,mpfr,mpfr,53,128,2.026721e-03,2069.5024,0.000e+00
matmul,mpfr,mpfr,53,256,1.442025e-02,2326.8964,0.000e+00
axpy,mpfr,mpfr,72,4096,2.318800e-05,353.2862,2.047e-13
axpy,mpfr,mpfr,72,16384,2.812000e-05,1165.2916,2.047e-13
axpy,mpfr,mpfr,72,65536,6.072400e-05,2158.4876,4.701e-13
matvec,mpfr,mpfr,72,128,9.375270e-04,34.9515,6.003e-14
matvec,mpfr,mpfr,72,256,1.809420e-03,72.4387,1.254e-13
matvec,mpfr,mpfr,72,512,3.608333e-03,145.2992,2.171e-14
matmul,mpfr,mpfr,72,64,4.818280e-04,1088.1227,2.675e-12
matmul,mpfr,mpfr,72,128,2.182743e-03,1921.5748,1.205e-12
matmul,mpfr,mpfr,72,256,1.545560e-02,2171.0207,9.964e-12
axpy,mpfr,mpfr,96,4096,2.249000e-05,364.2508,2.047e-13
axpy,mpfr,mpfr,96,16384,2.703600e-05,1212.0136,2.047e-13
axpy,mpfr,mpfr,96,65536,5.979600e-05,2191.9861,4.701e-13
matvec,mpfr,mpfr,96,128,9.461980e-04,34.6312,6.003e-14
matvec,mpfr,mpfr,96,256,1.842127e-03,71.1525,1.254e-13
matvec,mpfr,mpfr,96,512,3.631517e-03,144.3716,2.171e-14
matmul,mpfr,mpfr,96,64,4.853410e-04,1080.2467,2.675e-12
matmul,mpfr,mpfr,96,128,2.252514e-03,1862.0546,1.205e-12
matmul,mpfr,mpfr,96,256,1.560000e-02,2150.9255,9.964e-12
axpy,mpfr,mpfr,106,4096,2.269400e-05,360.9765,2.047e-13
axpy,mpfr,mpfr,106,16384,2.763600e-05,1185.6998,2.047e-13
axpy,mpfr,mpfr,106,65536,6.227800e-05,2104.6276,4.701e-13
matvec,mpfr,mpfr,106,128,8.467000e-04,38.7008,6.003e-14
matvec,mpfr,mpfr,106,256,1.690309e-03,77.5432,1.254e-13
matvec,mpfr,mpfr,106,512,3.382232e-03,155.0124,2.171e-14
matmul,mpfr,mpfr,106,64,4.280560e-04,1224.8117,2.675e-12
matmul,mpfr,mpfr,106,128,1.658701e-03,2528.6679,1.205e-12
matmul,mpfr,mpfr,106,256,1.296306e-02,2588.4652,9.964e-12
axpy,mpfr,mpfr,159,4096,2.478700e-05,330.4958,2.047e-13
axpy,mpfr,mpfr,159,16384,2.916100e-05,1123.6926,2.047e-13
axpy,mpfr,mpfr,159,65536,6.596500e-05,1986.9931,4.701e-13
matvec,mpfr,mpfr,159,128,1.033775e-03,31.6974,6.003e-14
matvec,mpfr,mpfr,159,256,2.005480e-03,65.3569,1.254e-13
