# backend=neon lanes=4 threads=20
# AXPY n=1000000  GEMV n=2048  GEMM n=512   reference: MPFR 600 bits
# t1 = 1 thread, tOMP = 20 threads; omp column = bitwise equality of the two runs
#
type op    var     maxrelerr   meanrelerr    t1[s/call]  tOMP[s/call]  ompspd    omp
ds   AXPY  Q      1.7927e-10   1.8034e-15    7.8554e-04    9.3227e-04    0.84     ok
ds   GEMV  Q      2.5845e-11   1.1770e-13    7.2662e-03    1.7161e-03    4.23     ok
ds   GEMM  Q      1.6235e-11   6.3688e-14    1.2149e-01    1.5085e-02    8.05     ok
ds   AXPY  BF     1.7927e-10   1.6812e-15    8.4164e-04    1.0659e-03    0.79     ok
ds   GEMV  BF     2.0972e-11   1.1195e-13    9.7713e-03    2.0046e-03    4.87     ok
ds   GEMM  BF     2.3006e-11   5.8522e-14    1.7567e-01    1.5908e-02   11.04     ok
ds   AXPY  FMA    1.0034e-10   1.9263e-15    7.0594e-04    1.3663e-03    0.52     ok
ds   GEMV  FMA    4.1733e-11   1.3162e-13    8.0737e-03    1.5561e-03    5.19     ok
ds   GEMM  FMA    1.3826e-11   6.5007e-14    1.2491e-01    1.5113e-02    8.27     ok
# ds speedup of FMA  (1 thread) : AXPY FMA/Q=1.11 FMA/BF=1.19 | GEMV FMA/Q=0.90 FMA/BF=1.21 | GEMM FMA/Q=0.97 FMA/BF=1.41
# ds speedup of FMA  (20 thr)   : AXPY FMA/Q=0.68 FMA/BF=0.78 | GEMV FMA/Q=1.10 FMA/BF=1.29 | GEMM FMA/Q=1.00 FMA/BF=1.05
#
ts   AXPY  Q      3.3805e-19   1.3204e-23    7.9700e-03    2.0250e-03    3.94     ok
ts   GEMV  Q      5.9045e-20   9.1915e-22    3.6697e-02    4.4149e-03    8.31     ok
ts   GEMM  Q      1.3964e-17   7.4892e-21    1.0252e+00    1.0024e-01   10.23     ok
ts   AXPY  BF     2.8103e-18   3.8672e-23    2.6113e-03    1.5535e-03    1.68     ok
ts   GEMV  BF     3.7358e-19   2.0808e-21    1.5961e-02    2.8665e-03    5.57     ok
ts   GEMM  BF     1.6958e-17   1.0067e-20    3.9573e-01    3.8932e-02   10.16     ok
ts   AXPY  FMA    8.1620e-18   5.7647e-23    1.6697e-03    1.6125e-03    1.04     ok
ts   GEMV  FMA    8.9668e-19   3.1832e-21    1.2879e-02    2.4022e-03    5.36     ok
ts   GEMM  FMA    3.5583e-18   3.8704e-21    2.7568e-01    2.9553e-02    9.33     ok
# ts speedup of FMA  (1 thread) : AXPY FMA/Q=4.77 FMA/BF=1.56 | GEMV FMA/Q=2.85 FMA/BF=1.24 | GEMM FMA/Q=3.72 FMA/BF=1.44
# ts speedup of FMA  (20 thr)   : AXPY FMA/Q=1.26 FMA/BF=0.96 | GEMV FMA/Q=1.84 FMA/BF=1.19 | GEMM FMA/Q=3.39 FMA/BF=1.32
#
qs   AXPY  Q      1.2619e-25   1.3395e-30    1.4163e-02    3.0985e-03    4.57     ok
qs   GEMV  Q      8.2797e-26   8.1189e-29    4.5480e-02    5.7705e-03    7.88     ok
qs   GEMM  Q      1.1693e-26   4.2708e-29    1.3521e+00    1.2326e-01   10.97     ok
qs   AXPY  BF     1.2619e-25   1.2713e-30    5.1805e-03    2.1753e-03    2.38     ok
qs   GEMV  BF     4.1042e-24   2.0824e-27    2.5033e-02    3.3948e-03    7.37     ok
qs   GEMM  BF     2.1442e-26   5.0605e-29    6.3252e-01    7.2501e-02    8.72     ok
qs   AXPY  FMA    1.2619e-25   1.5340e-30    3.3843e-03    1.8231e-03    1.86     ok
qs   GEMV  FMA    1.7224e-24   9.2822e-28    1.7779e-02    3.1973e-03    5.56     ok
qs   GEMM  FMA    8.3260e-27   5.5294e-29    4.2815e-01    5.0404e-02    8.49     ok
# qs speedup of FMA  (1 thread) : AXPY FMA/Q=4.18 FMA/BF=1.53 | GEMV FMA/Q=2.56 FMA/BF=1.41 | GEMM FMA/Q=3.16 FMA/BF=1.48
# qs speedup of FMA  (20 thr)   : AXPY FMA/Q=1.70 FMA/BF=1.19 | GEMV FMA/Q=1.80 FMA/BF=1.06 | GEMM FMA/Q=2.45 FMA/BF=1.44
#
