# backend=serial lanes=1 threads=20
# AXPY n=1000000  GEMV n=2048  GEMM n=512   reference: MPFR 600 bits
# t1 = 1 thread, tOMP = 20 threads; omp column = bitwise equality of the two runs
#
type op    var     maxrelerr   meanrelerr    t1[s/call]  tOMP[s/call]  ompspd    omp
dd   AXPY  Q      5.9825e-28   6.2108e-33    1.6507e-03    1.8132e-03    0.91     ok
dd   GEMV  Q      9.0429e-29   3.6683e-31    3.2073e-02    4.9991e-03    6.42     ok
dd   GEMM  Q      1.1936e-29   1.6483e-31    4.9497e-01    5.6845e-02    8.71     ok
dd   AXPY  BF     5.9825e-28   5.7578e-33    1.8135e-03    1.8226e-03    1.00     ok
dd   GEMV  BF     9.1502e-29   3.3250e-31    3.1570e-02    6.2051e-03    5.09     ok
dd   GEMM  BF     7.2333e-29   1.9762e-31    6.8054e-01    6.6193e-02   10.28     ok
dd   AXPY  FMA    5.9825e-28   6.5690e-33    1.3341e-03    1.9747e-03    0.68     ok
dd   GEMV  FMA    9.3234e-29   4.4979e-31    2.7386e-02    5.2435e-03    5.22     ok
dd   GEMM  FMA    1.3117e-28   2.9111e-31    5.0594e-01    5.9652e-02    8.48     ok
# dd speedup of FMA  (1 thread) : AXPY FMA/Q=1.24 FMA/BF=1.36 | GEMV FMA/Q=1.17 FMA/BF=1.15 | GEMM FMA/Q=0.98 FMA/BF=1.35
# dd speedup of FMA  (20 thr)   : AXPY FMA/Q=0.92 FMA/BF=0.92 | GEMV FMA/Q=0.95 FMA/BF=1.18 | GEMM FMA/Q=0.95 FMA/BF=1.11
#
td   AXPY  Q      2.1175e-44   2.0901e-49    2.5462e-02    4.2994e-03    5.92     ok
td   GEMV  Q      1.2407e-45   9.0237e-48    1.2603e-01    1.3347e-02    9.44     ok
td   GEMM  Q      7.2409e-44   4.2594e-47    4.0285e+00    3.1072e-01   12.97     ok
td   AXPY  BF     1.3408e-44   2.5506e-49    8.8328e-03    2.7749e-03    3.18     ok
td   GEMV  BF     2.6611e-45   1.3727e-47    6.1734e-02    9.5966e-03    6.43     ok
td   GEMM  BF     7.8894e-44   4.8072e-47    1.5430e+00    1.2711e-01   12.14     ok
td   AXPY  FMA    1.6629e-44   3.4244e-49    5.2094e-03    2.4087e-03    2.16     ok
td   GEMV  FMA    2.8836e-45   1.9708e-47    5.9871e-02    8.6362e-03    6.93     ok
td   GEMM  FMA    1.0917e-43   6.9257e-47    1.0839e+00    9.8138e-02   11.05     ok
# td speedup of FMA  (1 thread) : AXPY FMA/Q=4.89 FMA/BF=1.70 | GEMV FMA/Q=2.11 FMA/BF=1.03 | GEMM FMA/Q=3.72 FMA/BF=1.42
# td speedup of FMA  (20 thr)   : AXPY FMA/Q=1.78 FMA/BF=1.15 | GEMV FMA/Q=1.55 FMA/BF=1.11 | GEMM FMA/Q=3.17 FMA/BF=1.30
#
qd   AXPY  Q      5.7641e-61   3.3424e-66    5.0713e-02    6.7221e-03    7.54     ok
qd   GEMV  Q      1.8701e-59   9.4485e-63    2.2681e-01    2.2103e-02   10.26     ok
qd   GEMM  Q      1.1714e-61   2.7032e-64    7.1777e+00    5.4307e-01   13.22     ok
qd   AXPY  BF     6.1717e-60   1.9513e-65    1.8428e-02    4.1828e-03    4.41     ok
qd   GEMV  BF     1.4824e-59   8.1209e-63    8.5372e-02    1.2868e-02    6.63     ok
qd   GEMM  BF     3.7656e-61   7.4959e-64    2.4895e+00    2.0614e-01   12.08     ok
qd   AXPY  FMA    2.7728e-60   2.1655e-65    9.6218e-03    3.2485e-03    2.96     ok
qd   GEMV  FMA    3.8503e-60   2.9491e-63    6.0416e-02    1.0118e-02    5.97     ok
qd   GEMM  FMA    2.8468e-61   8.6559e-64    1.5638e+00    1.3083e-01   11.95     ok
# qd speedup of FMA  (1 thread) : AXPY FMA/Q=5.27 FMA/BF=1.92 | GEMV FMA/Q=3.75 FMA/BF=1.41 | GEMM FMA/Q=4.59 FMA/BF=1.59
# qd speedup of FMA  (20 thr)   : AXPY FMA/Q=2.07 FMA/BF=1.29 | GEMV FMA/Q=2.18 FMA/BF=1.27 | GEMM FMA/Q=4.15 FMA/BF=1.58
#
