# backend=serial variant=Q
# degree=1000  evaluation points=2000  POLYMUL: deg 1000 x deg 500, 20 reps
# accuracy reference: MPFR 600 bits
#
type op           maxrelerr   meanrelerr     t[s/call]      calls
dd   HORNER      1.2473e-32   1.9749e-33    7.1777e-06       2000
dd   ESTRIN      4.4205e-32   7.0731e-33    1.5167e-06       2000
dd   ESTRIN-V    4.4205e-32   7.0731e-33    1.4900e-06       2000
dd   EVALDIFF    8.5993e-30   1.7610e-32    7.1678e-06       2000
dd   POLYMUL     6.3762e-29   1.9160e-31    8.3427e-04         20
td   HORNER      1.2078e-48   1.2310e-49    2.7611e-05       2000
td   ESTRIN      1.5993e-48   2.1412e-49    1.2753e-05       2000
td   ESTRIN-V    1.5993e-48   2.1412e-49    1.2751e-05       2000
td   EVALDIFF    1.0064e-48   1.1331e-49    2.7780e-05       2000
td   POLYMUL     1.2906e-45   6.9220e-48    1.5516e-02         20
qd   HORNER      1.9579e-65   2.4157e-66    6.2541e-05       2000
qd   ESTRIN      4.5571e-65   7.0483e-66    5.1801e-05       2000
qd   ESTRIN-V    4.5571e-65   7.0483e-66    5.1733e-05       2000
qd   EVALDIFF    2.9934e-65   2.8322e-66    6.9108e-05       2000
qd   POLYMUL     7.1638e-63   9.6810e-65    2.7424e-02         20
