backend,variant,deg,npts,rep,type,op,maxrelerr,meanrelerr,tpercall
serial,Q,2,400000,20000,dd,HORNER,9.1871e-33,1.5993e-33,4.0024e-09
serial,Q,2,400000,20000,dd,HORNER-V,9.1871e-33,1.5993e-33,5.1598e-09
serial,Q,2,400000,20000,dd,ESTRIN,2.3917e-32,3.0142e-33,3.5257e-08
serial,Q,2,400000,20000,dd,ESTRIN-V,2.3917e-32,3.0142e-33,3.5411e-08
serial,Q,2,400000,20000,dd,EVALDIFF,1.4170e-30,1.9967e-32,2.9314e-09
serial,Q,2,400000,20000,dd,POLYMUL,1.4830e-32,7.4703e-33,1.3847e-08
serial,Q,2,400000,20000,td,HORNER,8.6323e-49,9.8003e-50,3.4571e-08
serial,Q,2,400000,20000,td,HORNER-V,8.6323e-49,9.8003e-50,7.4216e-08
serial,Q,2,400000,20000,td,ESTRIN,9.7325e-49,1.4794e-49,8.6100e-08
serial,Q,2,400000,20000,td,ESTRIN-V,9.7325e-49,1.4794e-49,8.6104e-08
serial,Q,2,400000,20000,td,EVALDIFF,3.8799e-49,8.2653e-50,2.7769e-08
serial,Q,2,400000,20000,td,POLYMUL,8.4962e-49,4.8716e-49,1.2200e-07
serial,Q,2,400000,20000,qd,HORNER,1.5830e-65,2.4925e-66,1.1457e-07
serial,Q,2,400000,20000,qd,HORNER-V,1.5830e-65,2.4925e-66,1.1009e-07
serial,Q,2,400000,20000,qd,ESTRIN,1.9284e-65,3.7420e-66,1.9534e-07
serial,Q,2,400000,20000,qd,ESTRIN-V,1.9284e-65,3.7420e-66,1.9511e-07
serial,Q,2,400000,20000,qd,EVALDIFF,1.4896e-65,2.3993e-66,7.5551e-08
serial,Q,2,400000,20000,qd,POLYMUL,1.0457e-65,5.6526e-66,2.1146e-07
serial,BF,2,400000,20000,dd,HORNER,9.1871e-33,1.5949e-33,5.7816e-09
serial,BF,2,400000,20000,dd,HORNER-V,9.1871e-33,1.5949e-33,6.2826e-09
serial,BF,2,400000,20000,dd,ESTRIN,2.3917e-32,2.8847e-33,3.8927e-08
serial,BF,2,400000,20000,dd,ESTRIN-V,2.3917e-32,2.8847e-33,3.8849e-08
