prec,backend,fma,dim,lu_time,solve_time,maxrelerr
dd,serial,nofma,256,9.497107165e-03,2.725351943e-04,0.000000e+00
dd,serial,nofma,512,7.508999408e-02,1.118147645e-03,0.000000e+00
dd,serial,nofma,1024,5.994143456e-01,4.515353421e-03,0.000000e+00
dd,serial,fma,256,6.797144578e-03,2.514323838e-04,0.000000e+00
dd,serial,fma,512,5.429838048e-02,1.004401468e-03,0.000000e+00
dd,serial,fma,1024,4.339241729e-01,4.024120140e-03,0.000000e+00
dd,neon,nofma,256,7.216584435e-03,2.695221250e-04,0.000000e+00
dd,neon,nofma,512,5.692127554e-02,1.103223363e-03,0.000000e+00
dd,neon,nofma,1024,4.539085556e-01,4.439927015e-03,0.000000e+00
dd,neon,fma,256,3.893297868e-03,1.242913374e-04,0.000000e+00
dd,neon,fma,512,3.089851052e-02,4.893082400e-04,0.000000e+00
dd,neon,fma,1024,2.502956920e-01,1.943145679e-03,0.000000e+00
dd,sve2,nofma,256,5.030087385e-03,2.654568818e-04,0.000000e+00
dd,sve2,nofma,512,4.019151945e-02,1.105092055e-03,0.000000e+00
dd,sve2,nofma,1024,3.206969660e-01,4.439530765e-03,0.000000e+00
dd,sve2,fma,256,3.547627265e-03,1.284522446e-04,0.000000e+00
dd,sve2,fma,512,2.829656862e-02,5.010545137e-04,0.000000e+00
dd,sve2,fma,1024,2.257904189e-01,1.986266141e-03,0.000000e+00
td,serial,nofma,256,5.477755677e-02,9.117832774e-04,0.000000e+00
td,serial,nofma,512,4.351871868e-01,3.631832578e-03,0.000000e+00
td,serial,fma,256,2.910867056e-02,6.751784083e-04,0.000000e+00
td,serial,fma,512,2.292673978e-01,2.675298203e-03,0.000000e+00
td,neon,nofma,256,2.604093585e-02,9.071812656e-04,0.000000e+00
td,neon,nofma,512,2.039535132e-01,3.631628830e-03,0.000000e+00
td,neon,fma,256,1.643317870e-02,3.644305723e-04,0.000000e+00
td,neon,fma,512,1.263467762e-01,1.389282336e-03,0.000000e+00
td,sve2,nofma,256,2.804594770e-02,9.214897345e-04,0.000000e+00
td,sve2,nofma,512,2.224833018e-01,3.768238610e-03,0.000000e+00
td,sve2,fma,256,1.675983342e-02,3.709822422e-04,0.000000e+00
td,sve2,fma,512,1.298807708e-01,1.426811664e-03,0.000000e+00
qd,serial,nofma,256,1.989655407e-01,2.531877898e-03,0.000000e+00
qd,serial,nofma,512,1.465276538e+00,1.012032359e-02,0.000000e+00
qd,serial,fma,256,7.046195107e-02,1.413220321e-03,0.000000e+00
qd,serial,fma,512,5.455913587e-01,5.546466813e-03,0.000000e+00
qd,neon,nofma,256,5.647065303e-02,2.503979469e-03,0.000000e+00
qd,neon,nofma,512,4.285483660e-01,1.006583197e-02,0.000000e+00
qd,neon,fma,256,4.005134705e-02,6.656823869e-04,0.000000e+00
qd,neon,fma,512,2.992950993e-01,2.520422625e-03,0.000000e+00
qd,sve2,nofma,256,6.169508877e-02,2.497727703e-03,0.000000e+00
qd,sve2,nofma,512,4.718349850e-01,1.009288853e-02,0.000000e+00
qd,sve2,fma,256,4.236390404e-02,6.754868768e-04,0.000000e+00
qd,sve2,fma,512,3.183602419e-01,2.563453836e-03,0.000000e+00
ds,serial,nofma,256,9.242399785e-03,2.628539531e-04,1.804112e-13
ds,serial,nofma,512,7.481783463e-02,1.067205410e-03,1.598721e-13
ds,serial,nofma,1024,5.984524635e-01,4.477416829e-03,3.486100e-13
ds,serial,fma,256,6.689429188e-03,2.477084531e-04,5.329071e-14
ds,serial,fma,512,5.327879595e-02,9.911502543e-04,1.136868e-13
ds,serial,fma,1024,4.328387453e-01,4.022452875e-03,3.197442e-13
ds,neon,nofma,256,9.205576439e-03,2.627198907e-04,1.804112e-13
ds,neon,nofma,512,7.351758047e-02,1.054302445e-03,1.598721e-13
ds,neon,nofma,1024,5.907304286e-01,4.412147937e-03,3.486100e-13
ds,neon,fma,256,2.033705153e-03,6.963690674e-05,5.329071e-14
ds,neon,fma,512,1.613459953e-02,2.658120537e-04,4.831691e-14
ds,neon,fma,1024,1.304228499e-01,1.015503613e-03,8.526513e-14
ds,sve2,nofma,256,9.333552488e-03,2.660149912e-04,1.804112e-13
ds,sve2,nofma,512,7.451309388e-02,1.066056656e-03,1.598721e-13
ds,sve2,nofma,1024,5.969411199e-01,4.465373297e-03,3.486100e-13
ds,sve2,fma,256,1.881441330e-03,7.337339113e-05,5.329071e-14
ds,sve2,fma,512,1.433399134e-02,2.670036650e-04,4.831691e-14
ds,sve2,fma,1024,1.198125079e-01,1.052385691e-03,8.526513e-14
ts,serial,nofma,256,7.426314978e-02,1.148976082e-03,0.000000e+00
ts,serial,nofma,512,5.931751079e-01,4.585172548e-03,0.000000e+00
ts,serial,fma,256,2.998364993e-02,6.863118340e-04,0.000000e+00
ts,serial,fma,512,2.339656470e-01,2.690695726e-03,0.000000e+00
ts,neon,nofma,256,7.339415555e-02,1.131512855e-03,0.000000e+00
ts,neon,nofma,512,5.850242847e-01,4.517218656e-03,0.000000e+00
ts,neon,fma,256,8.673105411e-03,2.226474785e-04,0.000000e+00
ts,neon,fma,512,6.459664843e-02,7.752934885e-04,0.000000e+00
ts,sve2,nofma,256,7.354438690e-02,1.173330067e-03,0.000000e+00
ts,sve2,nofma,512,6.006235891e-01,4.813870017e-03,0.000000e+00
ts,sve2,fma,256,9.198025501e-03,2.301437920e-04,0.000000e+00
ts,sve2,fma,512,6.864413434e-02,8.042443633e-04,0.000000e+00
qs,serial,nofma,256,2.700752486e-01,3.878375330e-03,0.000000e+00
qs,serial,nofma,512,2.041277572e+00,1.556522238e-02,0.000000e+00
qs,serial,fma,256,6.960736590e-02,1.401635106e-03,0.000000e+00
qs,serial,fma,512,5.371350675e-01,5.497809689e-03,0.000000e+00
qs,neon,nofma,256,2.879952698e-01,4.074672219e-03,0.000000e+00
qs,neon,nofma,512,2.227021074e+00,1.639333813e-02,0.000000e+00
qs,neon,fma,256,2.428031022e-02,4.525529102e-04,0.000000e+00
qs,neon,fma,512,1.646588747e-01,1.504971445e-03,0.000000e+00
qs,sve2,nofma,256,2.907648793e-01,4.237888812e-03,0.000000e+00
qs,sve2,nofma,512,2.205311599e+00,1.701264837e-02,0.000000e+00
qs,sve2,fma,256,2.604188007e-02,4.541379747e-04,0.000000e+00
qs,sve2,fma,512,1.799413562e-01,1.513621207e-03,0.000000e+00
