prec,backend,fma,family,dim,maxrelerr
dd,serial,nofma,hilbert,2,3.697785e-32
dd,serial,nofma,hilbert,4,5.598678e-30
dd,serial,nofma,hilbert,6,1.545878e-26
dd,serial,nofma,hilbert,8,2.642945e-23
dd,serial,nofma,hilbert,10,2.185328e-20
dd,serial,nofma,hilbert,12,7.045275e-18
dd,serial,nofma,hilbert,14,1.730615e-14
dd,serial,nofma,hilbert,16,5.450009e-11
dd,serial,nofma,hilbert,18,8.635303e-09
dd,serial,nofma,hilbert,20,3.564106e-05
dd,serial,nofma,hilbert,22,2.743500e-02
dd,serial,nofma,hilbert,24,8.196078e+01
dd,serial,nofma,hilbert,26,3.070232e+01
dd,serial,nofma,hilbert,28,1.634281e+02
dd,serial,nofma,hilbert,30,1.140766e+02
dd,serial,nofma,hilbert,32,5.106251e+01
dd,serial,nofma,hilbert,34,4.646971e+01
dd,serial,nofma,hilbert,36,4.099916e+01
dd,serial,nofma,hilbert,38,5.865255e+01
dd,serial,nofma,hilbert,40,6.300407e+02
dd,serial,fma,hilbert,2,3.697785e-32
dd,serial,fma,hilbert,4,4.108009e-30
dd,serial,fma,hilbert,6,5.646014e-27
dd,serial,fma,hilbert,8,9.837358e-23
dd,serial,fma,hilbert,10,3.513415e-20
dd,serial,fma,hilbert,12,2.814215e-17
dd,serial,fma,hilbert,14,1.435593e-14
dd,serial,fma,hilbert,16,5.042614e-11
dd,serial,fma,hilbert,18,2.215433e-08
dd,serial,fma,hilbert,20,2.921032e-05
dd,serial,fma,hilbert,22,3.464410e-02
dd,serial,fma,hilbert,24,2.863176e+01
dd,serial,fma,hilbert,26,2.235880e+01
dd,serial,fma,hilbert,28,1.062454e+04
dd,serial,fma,hilbert,30,1.536004e+02
dd,serial,fma,hilbert,32,8.925437e+01
dd,serial,fma,hilbert,34,1.744132e+03
dd,serial,fma,hilbert,36,1.756277e+02
dd,serial,fma,hilbert,38,2.201756e+02
dd,serial,fma,hilbert,40,1.573231e+03
dd,neon,nofma,hilbert,2,3.697785e-32
dd,neon,nofma,hilbert,4,8.840018e-30
dd,neon,nofma,hilbert,6,1.292995e-26
dd,neon,nofma,hilbert,8,1.310710e-23
dd,neon,nofma,hilbert,10,2.352872e-20
dd,neon,nofma,hilbert,12,3.245762e-17
dd,neon,nofma,hilbert,14,3.485457e-14
dd,neon,nofma,hilbert,16,5.939805e-11
