backend,nthreads,family,type,bits,N,seconds,iters,mflops
avx512,1,float-based,float,24,4096,4.936828e-07,1048576,16593.6502
avx512,1,double-based,double,53,4096,9.984624e-07,524288,8204.6156
avx512,1,double-based,dd,106,4096,2.009991e-06,262144,4075.6410
avx512,1,double-based,td,159,4096,9.047486e-06,65536,905.4449
avx512,1,double-based,qd,212,4096,1.910150e-05,16384,428.8669
avx512,1,float-based,ds,48,4096,1.092363e-06,524288,7499.3375
avx512,1,float-based,ts,72,4096,4.913512e-06,65536,1667.2391
avx512,1,float-based,qs,96,4096,1.056409e-05,32768,775.4575
avx512,1,mpfr,mpfr24,24,4096,1.216551e-04,4096,67.3379
avx512,1,mpfr,mpfr48,48,4096,1.214553e-04,4096,67.4487
avx512,1,mpfr,mpfr53,53,4096,1.217375e-04,4096,67.2923
avx512,1,mpfr,mpfr72,72,4096,1.274543e-04,4096,64.2740
avx512,1,mpfr,mpfr96,96,4096,1.275169e-04,4096,64.2425
avx512,1,mpfr,mpfr106,106,4096,1.265708e-04,4096,64.7227
avx512,1,mpfr,mpfr159,159,4096,1.607769e-04,2048,50.9526
avx512,1,mpfr,mpfr212,212,4096,2.204009e-04,2048,37.1686
avx512,1,float-based,float,24,16384,1.691601e-06,262144,19370.9979
avx512,1,double-based,double,53,16384,3.152885e-06,131072,10393.0202
avx512,1,double-based,dd,106,16384,6.817336e-06,65536,4806.5697
avx512,1,double-based,td,159,16384,3.601330e-05,16384,909.8861
avx512,1,double-based,qd,212,16384,7.626979e-05,4096,429.6328
avx512,1,float-based,ds,48,16384,3.753928e-06,131072,8728.9889
avx512,1,float-based,ts,72,16384,1.847943e-05,16384,1773.2145
avx512,1,float-based,qs,96,16384,4.135948e-05,8192,792.2730
avx512,1,mpfr,mpfr24,24,16384,4.896952e-04,1024,66.9151
avx512,1,mpfr,mpfr48,48,16384,4.906075e-04,1024,66.7907
avx512,1,mpfr,mpfr53,53,16384,4.886365e-04,1024,67.0601
avx512,1,mpfr,mpfr72,72,16384,5.057801e-04,1024,64.7870
avx512,1,mpfr,mpfr96,96,16384,5.042695e-04,1024,64.9811
avx512,1,mpfr,mpfr106,106,16384,5.046523e-04,1024,64.9318
avx512,1,mpfr,mpfr159,159,16384,6.428012e-04,512,50.9769
avx512,1,mpfr,mpfr212,212,16384,8.731093e-04,512,37.5302
avx512,1,float-based,float,24,65536,6.134767e-06,65536,21365.4395
avx512,1,double-based,double,53,65536,1.532437e-05,32768,8553.1713
avx512,1,double-based,dd,106,65536,7.642573e-05,4096,1715.0246
avx512,1,double-based,td,159,65536,1.423154e-04,4096,920.9966
avx512,1,double-based,qd,212,65536,3.037236e-04,1024,431.5502
avx512,1,float-based,ds,48,65536,1.544815e-05,32768,8484.6428
avx512,1,float-based,ts,72,65536,7.526419e-05,4096,1741.4921
avx512,1,float-based,qs,96,65536,1.643043e-04,2048,797.7394
avx512,1,mpfr,mpfr24,24,65536,1.961191e-03,256,66.8329
avx512,1,mpfr,mpfr48,48,65536,1.965285e-03,256,66.6936
avx512,1,mpfr,mpfr53,53,65536,1.964515e-03,256,66.7198
avx512,1,mpfr,mpfr72,72,65536,2.019953e-03,256,64.8886
avx512,1,mpfr,mpfr96,96,65536,2.014247e-03,256,65.0725
avx512,1,mpfr,mpfr106,106,65536,2.016569e-03,256,64.9975
avx512,1,mpfr,mpfr159,159,65536,2.542641e-03,128,51.5495
avx512,1,mpfr,mpfr212,212,65536,3.486790e-03,128,37.5910
avx512,1,float-based,float,24,262144,7.645821e-05,4096,6857.1841
avx512,1,double-based,double,53,262144,1.648047e-04,2048,3181.2676
avx512,1,double-based,dd,106,262144,3.287597e-04,1024,1594.7455
avx512,1,double-based,td,159,262144,5.716574e-04,1024,917.1367
avx512,1,double-based,qd,212,262144,1.212927e-03,256,432.2504
avx512,1,float-based,ds,48,262144,1.641918e-04,2048,3193.1432
avx512,1,float-based,ts,72,262144,3.020666e-04,1024,1735.6704
avx512,1,float-based,qs,96,262144,6.569554e-04,512,798.0572
avx512,1,mpfr,mpfr24,24,262144,7.842124e-03,64,66.8554
avx512,1,mpfr,mpfr48,48,262144,7.806018e-03,64,67.1646
avx512,1,mpfr,mpfr53,53,262144,7.827345e-03,64,66.9816
avx512,1,mpfr,mpfr72,72,262144,8.128859e-03,64,64.4971
avx512,1,mpfr,mpfr96,96,262144,8.145235e-03,64,64.3674
avx512,1,mpfr,mpfr106,106,262144,8.144345e-03,64,64.3745
avx512,1,mpfr,mpfr159,159,262144,1.032991e-02,32,50.7544
avx512,1,mpfr,mpfr212,212,262144,1.415672e-02,32,37.0346
avx512,1,float-based,float,24,1048576,3.385069e-04,1024,6195.3009
avx512,1,double-based,double,53,1048576,6.860527e-04,512,3056.8380
avx512,1,double-based,dd,106,1048576,1.730113e-03,256,1212.1472
avx512,1,double-based,td,159,1048576,3.177874e-03,128,659.9230
avx512,1,double-based,qd,212,1048576,5.670890e-03,64,369.8100
avx512,1,float-based,ds,48,1048576,6.862832e-04,512,3055.8113
avx512,1,float-based,ts,72,1048576,1.232570e-03,256,1701.4465
avx512,1,float-based,qs,96,1048576,2.658103e-03,128,788.9658
avx512,1,mpfr,mpfr24,24,1048576,3.142343e-02,16,66.7385
avx512,1,mpfr,mpfr48,48,1048576,3.148025e-02,16,66.6180
avx512,1,mpfr,mpfr53,53,1048576,3.156026e-02,16,66.4491
avx512,1,mpfr,mpfr72,72,1048576,3.285614e-02,16,63.8283
avx512,1,mpfr,mpfr96,96,1048576,3.283906e-02,16,63.8615
avx512,1,mpfr,mpfr106,106,1048576,3.280619e-02,16,63.9255
avx512,1,mpfr,mpfr159,159,1048576,4.217049e-02,8,49.7303
avx512,1,mpfr,mpfr212,212,1048576,5.714801e-02,8,36.6969
avx512,1,float-based,float,24,4194304,1.657628e-03,256,5060.6081
avx512,1,double-based,double,53,4194304,4.447805e-03,128,1886.0108
avx512,1,double-based,dd,106,4194304,9.891845e-03,32,848.0327
avx512,1,double-based,td,159,4194304,1.679172e-02,32,499.5682
avx512,1,double-based,qd,212,4194304,2.762949e-02,16,303.6106
avx512,1,float-based,ds,48,4194304,4.801206e-03,64,1747.1876
avx512,1,float-based,ts,72,4194304,7.659625e-03,64,1095.1721
avx512,1,float-based,qs,96,4194304,1.084447e-02,32,773.5379
avx512,1,mpfr,mpfr24,24,4194304,1.257635e-01,4,66.7014
avx512,1,mpfr,mpfr48,48,4194304,1.253810e-01,4,66.9049
avx512,1,mpfr,mpfr53,53,4194304,1.254653e-01,4,66.8600
avx512,1,mpfr,mpfr72,72,4194304,1.319582e-01,4,63.5702
avx512,1,mpfr,mpfr96,96,4194304,1.323748e-01,4,63.3701
avx512,1,mpfr,mpfr106,106,4194304,1.327420e-01,4,63.1948
avx512,1,mpfr,mpfr159,159,4194304,1.684899e-01,2,49.7870
avx512,1,mpfr,mpfr212,212,4194304,2.302175e-01,2,36.4378
avx512,32,float-based,float,24,4096,6.244474e-06,65536,1311.8799
avx512,32,double-based,double,53,4096,6.255294e-06,65536,1309.6108
avx512,32,double-based,dd,106,4096,6.240647e-06,65536,1312.6844
avx512,32,double-based,td,159,4096,6.470978e-06,65536,1265.9600
avx512,32,double-based,qd,212,4096,6.700899e-06,65536,1222.5226
avx512,32,float-based,ds,48,4096,6.205566e-06,65536,1320.1052
avx512,32,float-based,ts,72,4096,7.120849e-06,65536,1150.4247
avx512,32,float-based,qs,96,4096,6.555954e-06,65536,1249.5511
avx512,32,mpfr,mpfr24,24,4096,1.136755e-05,32768,720.6479
avx512,32,mpfr,mpfr48,48,4096,2.492956e-05,16384,328.6059
avx512,32,mpfr,mpfr53,53,4096,2.661218e-05,16384,307.8290
avx512,32,mpfr,mpfr72,72,4096,2.976367e-05,16384,275.2349
avx512,32,mpfr,mpfr96,96,4096,2.594800e-05,16384,315.7083
avx512,32,mpfr,mpfr106,106,4096,2.945612e-05,16384,278.1086
avx512,32,mpfr,mpfr159,159,4096,2.469355e-05,16384,331.7465
avx512,32,mpfr,mpfr212,212,4096,1.517950e-05,32768,539.6751
avx512,32,float-based,float,24,16384,6.471666e-06,65536,5063.3021
