backend,type,op,N,seconds,iters,mflops
serial,float,axpy,128,2.577113e-08,8388608,9933.5965
serial,float,matvec,128,7.318908e-06,32768,4477.1709
serial,float,matmul,128,1.452570e-03,256,2887.5059
serial,double,axpy,128,2.062572e-08,16777216,12411.6881
serial,double,matvec,128,5.514892e-06,65536,5941.7300
serial,double,matmul,128,1.906579e-03,128,2199.9105
serial,dd,axpy,128,3.276616e-07,1048576,781.2938
serial,dd,matvec,128,8.178194e-05,4096,400.6753
serial,dd,matmul,128,1.051547e-02,32,398.8700
serial,td,axpy,128,1.749328e-06,131072,146.3419
serial,td,matvec,128,2.323380e-04,1024,141.0359
serial,td,matmul,128,2.977085e-02,8,140.8863
serial,qd,axpy,128,3.765563e-06,65536,67.9845
serial,qd,matvec,128,4.728395e-04,512,69.3005
serial,qd,matmul,128,6.138223e-02,4,68.3309
serial,ds,axpy,128,3.355435e-07,1048576,762.9413
serial,ds,matvec,128,8.102588e-05,4096,404.4140
serial,ds,matmul,128,1.052500e-02,32,398.5089
serial,ts,axpy,128,3.925230e-06,65536,65.2191
serial,ts,matvec,128,3.332715e-04,1024,98.3223
serial,ts,matmul,128,4.350787e-02,8,96.4033
serial,qs,axpy,128,9.315336e-06,32768,27.4816
serial,qs,matvec,128,1.164688e-03,256,28.1346
serial,qs,matmul,128,1.503115e-01,2,27.9041
serial,double,spmv,128,5.962947e-07,524288,2964.9767
serial,dd,spmv,128,2.962592e-06,131072,596.7748
serial,td,spmv,128,1.299792e-05,16384,136.0218
serial,qd,spmv,128,2.585474e-05,8192,68.3821
serial,float,spmv,128,4.104058e-07,524288,4307.9308
serial,ds,spmv,128,2.971909e-06,131072,594.9039
serial,ts,spmv,128,1.850433e-05,16384,95.5452
serial,qs,spmv,128,5.940866e-05,4096,29.7600
serial,float,axpy,256,4.868627e-08,4194304,10516.3109
serial,float,matvec,256,3.271998e-05,8192,4005.8702
serial,float,matmul,256,2.123176e-02,16,1580.3890
serial,double,axpy,256,6.083866e-08,4194304,8415.7017
serial,double,matvec,256,3.508912e-05,8192,3735.4028
serial,double,matmul,256,2.073582e-02,16,1618.1873
serial,dd,axpy,256,9.080277e-07,262144,563.8595
serial,dd,matvec,256,4.662736e-04,512,281.1053
serial,dd,matmul,256,1.043975e-01,2,321.4102
serial,td,axpy,256,3.490095e-06,65536,146.7009
serial,td,matvec,256,9.302497e-04,256,140.8998
serial,td,matmul,256,2.438838e-01,1,137.5837
serial,qd,axpy,256,7.525086e-06,32768,68.0391
serial,qd,matvec,256,1.892563e-03,128,69.2563
serial,qd,matmul,256,5.306630e-01,1,63.2311
serial,ds,axpy,256,6.645432e-07,524288,770.4540
serial,ds,matvec,256,3.310165e-04,1024,395.9682
serial,ds,matmul,256,8.598799e-02,4,390.2223
serial,ts,axpy,256,7.862494e-06,32768,65.1193
serial,ts,matvec,256,1.333328e-03,256,98.3044
serial,ts,matmul,256,3.482430e-01,1,96.3535
serial,qs,axpy,256,1.863019e-05,16384,27.4823
serial,qs,matvec,256,4.669078e-03,64,28.0724
serial,qs,matmul,256,1.203827e+00,1,27.8731
serial,double,spmv,256,1.189240e-06,262144,2993.5089
serial,dd,spmv,256,5.947510e-06,65536,598.5699
serial,td,spmv,256,2.601711e-05,8192,136.8330
serial,qd,spmv,256,5.207083e-05,4096,68.3684
serial,float,spmv,256,8.200150e-07,262144,4341.3841
serial,ds,spmv,256,5.984330e-06,65536,594.8870
serial,ts,spmv,256,3.747363e-05,8192,95.0001
serial,qs,spmv,256,1.204985e-04,2048,29.5439
serial,float,axpy,512,9.087347e-08,4194304,11268.4152
serial,float,matvec,512,1.143569e-04,2048,4584.6657
serial,float,matmul,512,1.083441e-01,2,2477.6200
serial,double,axpy,512,9.370206e-08,4194304,10928.2554
serial,double,matvec,512,1.232745e-04,2048,4253.0122
serial,double,matmul,512,2.171600e-01,1,1236.1184
serial,dd,axpy,512,1.300014e-06,262144,787.6836
serial,dd,matvec,512,1.348418e-03,256,388.8171
serial,dd,matmul,512,8.341451e-01,1,321.8091
serial,td,axpy,512,7.087372e-06,32768,144.4823
serial,td,matvec,512,3.782500e-03,64,138.6089
serial,td,matmul,512,2.696487e+00,1,99.5501
serial,qd,axpy,512,1.510694e-05,16384,67.7834
serial,qd,matvec,512,7.564060e-03,32,69.3130
