backend,type,op,N,seconds,iters,mflops
serial,cd,axpy,128,1.624422e-07,2097152,1575.9448
serial,cd,matvec,128,1.802552e-05,16384,1817.8676
serial,cd,matmul,128,2.332015e-03,128,1798.5751
serial,cd,spmv,128,6.109593e-05,4096,28.9381
serial,cdd,axpy,128,2.644349e-06,131072,96.8102
serial,cdd,matvec,128,2.645098e-04,1024,123.8820
serial,cdd,matmul,128,3.183660e-02,8,131.7447
serial,cdd,spmv,128,1.885166e-04,2048,9.3785
serial,ctd,axpy,128,1.120118e-05,32768,22.8547
serial,ctd,matvec,128,8.890592e-04,256,36.8569
serial,ctd,matmul,128,9.041470e-02,4,46.3896
serial,ctd,spmv,128,3.470783e-04,1024,5.0940
serial,cqd,axpy,128,2.344458e-05,16384,10.9194
serial,cqd,matvec,128,1.750687e-03,128,18.7172
serial,cqd,matmul,128,1.856101e-01,2,22.5974
serial,cqd,spmv,128,5.199495e-04,512,3.4003
serial,cd,axpy,256,2.380734e-07,1048576,2150.5970
serial,cd,matvec,256,7.323583e-05,4096,1789.7250
serial,cd,matmul,256,2.100825e-02,16,1597.2024
serial,cd,spmv,256,1.227778e-04,2048,28.9955
serial,cdd,axpy,256,5.042282e-06,65536,101.5413
serial,cdd,matvec,256,1.265457e-03,256,103.5768
serial,cdd,matmul,256,2.609980e-01,1,128.5620
serial,cdd,spmv,256,3.783340e-04,1024,9.4097
serial,ctd,axpy,256,1.575079e-05,16384,32.5063
serial,ctd,matvec,256,3.640268e-03,64,36.0061
serial,ctd,matmul,256,7.645221e-01,1,43.8894
serial,ctd,spmv,256,6.982698e-04,512,5.0983
serial,cqd,axpy,256,3.343174e-05,8192,15.3148
serial,cqd,matvec,256,7.080257e-03,32,18.5123
serial,cqd,matmul,256,1.701072e+00,1,19.7255
serial,cqd,spmv,256,1.044289e-03,256,3.4090
serial,cd,axpy,512,4.687540e-07,524288,2184.5146
serial,cd,matvec,512,3.062617e-04,1024,1711.8954
serial,cd,matmul,512,3.314340e-01,1,809.9213
serial,cd,spmv,512,2.460997e-04,1024,29.0289
serial,cdd,axpy,512,6.884642e-06,32768,148.7369
serial,cdd,matvec,512,5.173374e-03,64,101.3435
serial,cdd,matmul,512,2.637289e+00,1,101.7846
serial,cdd,spmv,512,7.586367e-04,512,9.4169
serial,ctd,axpy,512,3.117128e-05,8192,32.8508
serial,ctd,matvec,512,1.452699e-02,16,36.0906
serial,ctd,matmul,512,8.485391e+00,1,31.6350
serial,ctd,spmv,512,1.400453e-03,256,5.1012
serial,cqd,axpy,512,6.619265e-05,4096,15.4700
serial,cqd,matvec,512,2.843037e-02,8,18.4411
serial,cqd,matmul,512,1.672651e+01,1,16.0485
serial,cqd,spmv,512,2.093485e-03,128,3.4125
serial,cd,axpy,1024,9.331088e-07,262144,2194.8137
serial,cd,matvec,1024,1.169442e-03,256,1793.2926
serial,cd,matmul,1024,3.428860e+00,1,626.2966
serial,cd,spmv,1024,4.963670e-04,512,28.8335
serial,cdd,axpy,1024,1.411773e-05,16384,145.0658
serial,cdd,matvec,1024,2.231282e-02,16,93.9887
serial,cdd,matmul,1024,2.236985e+01,1,95.9990
serial,cdd,spmv,1024,1.520742e-03,256,9.4112
serial,ctd,axpy,1024,8.641649e-05,4096,23.6992
serial,ctd,matvec,1024,6.632400e-02,4,31.6198
serial,ctd,matmul,1024,7.677805e+01,1,27.9700
serial,ctd,spmv,1024,2.806632e-03,128,5.0994
serial,cqd,axpy,1024,1.695605e-04,2048,12.0783
serial,cqd,matvec,1024,1.159395e-01,2,18.0883
serial,cqd,matmul,1024,1.517490e+02,1,14.1516
serial,cqd,spmv,1024,4.193358e-03,64,3.4130
serial,cd,axpy,2048,2.587753e-06,131072,1582.8407
serial,cd,matvec,2048,8.381970e-03,32,1000.7919
serial,cd,matmul,2048,5.316804e+01,1,323.1240
serial,cd,spmv,2048,9.916956e-04,256,28.8879
serial,cdd,axpy,2048,3.819371e-05,8192,107.2428
serial,cdd,matvec,2048,9.237951e-02,4,90.8059
serial,cdd,matmul,2048,3.551772e+02,1,48.3698
serial,cdd,spmv,2048,3.042728e-03,128,9.4152
serial,ctd,axpy,2048,1.722818e-04,2048,23.7750
serial,ctd,matvec,2048,2.761719e-01,1,30.3746
serial,ctd,matmul,2048,1.133915e+03,1,15.1509
serial,ctd,spmv,2048,5.635701e-03,64,5.0833
serial,cqd,axpy,2048,3.303320e-04,1024,12.3996
serial,cqd,matvec,2048,4.651160e-01,1,18.0355
serial,cqd,matmul,2048,2.136911e+03,1,8.0396
serial,cqd,spmv,2048,8.481808e-03,32,3.3776
avx2,cd,axpy,128,1.353020e-07,2097152,1892.0636
avx2,cd,matvec,128,1.699432e-05,16384,1928.1733
avx2,cd,matmul,128,2.157124e-03,128,1944.3966
avx2,cd,spmv,128,3.662743e-05,8192,48.2698
avx2,cdd,axpy,128,1.102684e-06,262144,232.1608
avx2,cdd,matvec,128,5.598366e-05,4096,585.3136
avx2,cdd,matmul,128,9.760909e-03,32,429.7043
avx2,cdd,spmv,128,5.289720e-05,4096,33.4233
avx2,ctd,axpy,128,2.220017e-06,131072,115.3145
avx2,ctd,matvec,128,2.771278e-04,1024,118.2415
avx2,ctd,matmul,128,3.087163e-02,8,135.8627
avx2,ctd,spmv,128,1.093457e-04,2048,16.1689
avx2,cqd,axpy,128,4.621277e-06,65536,55.3959
avx2,cqd,matvec,128,5.435254e-04,512,60.2879
avx2,cqd,matmul,128,7.095027e-02,4,59.1161
avx2,cqd,spmv,128,1.617041e-04,2048,10.9335
avx2,cd,axpy,256,1.961441e-07,1048576,2610.3254
avx2,cd,matvec,256,7.116090e-05,4096,1841.9103
avx2,cd,matmul,256,2.702424e-02,8,1241.6421
avx2,cd,spmv,256,7.390627e-05,4096,48.1691
avx2,cdd,axpy,256,1.589127e-06,131072,322.1894
avx2,cdd,matvec,256,4.968611e-04,512,263.8001
avx2,cdd,matmul,256,7.181501e-02,4,467.2342
avx2,cdd,spmv,256,1.063345e-04,2048,33.4793
avx2,ctd,axpy,256,5.712554e-06,65536,89.6272
avx2,ctd,matvec,256,1.563719e-03,128,83.8207
avx2,ctd,matmul,256,4.504380e-01,1,74.4929
avx2,ctd,spmv,256,2.193321e-04,1024,16.2311
avx2,cqd,axpy,256,8.201809e-06,32768,62.4253
avx2,cqd,matvec,256,2.202749e-03,128,59.5038
avx2,cqd,matmul,256,5.733628e-01,1,58.5222
avx2,cqd,spmv,256,3.239824e-04,1024,10.9882
avx2,cd,axpy,512,3.863070e-07,524288,2650.7417
avx2,cd,matvec,512,2.821963e-04,1024,1857.8838
avx2,cd,matmul,512,4.619350e-01,1,581.1108
avx2,cd,spmv,512,1.481611e-04,2048,48.2178
avx2,cdd,axpy,512,3.144254e-06,65536,325.6734
avx2,cdd,matvec,512,2.150742e-03,128,243.7707
avx2,cdd,matmul,512,1.990400e+00,1,134.8651
avx2,cdd,spmv,512,2.130663e-04,1024,33.5295
