backend,type,op,N,seconds,iters,mflops
serial,float,axpy,128,1.575184e-08,16777216,16252.0725
serial,float,matvec,128,7.324401e-06,32768,4473.8130
serial,float,matmul,128,2.032703e-03,128,2063.4123
serial,double,axpy,128,2.881515e-08,8388608,8884.2151
serial,double,matvec,128,7.740389e-06,32768,4233.3788
serial,double,matmul,128,2.659617e-03,128,1577.0331
serial,dd,axpy,128,5.131342e-07,524288,498.8948
serial,dd,matvec,128,1.138501e-04,2048,287.8170
serial,dd,matmul,128,1.465344e-02,16,286.2333
serial,td,axpy,128,2.435294e-06,131072,105.1208
serial,td,matvec,128,3.229815e-04,1024,101.4547
serial,td,matmul,128,4.157001e-02,8,100.8974
serial,qd,axpy,128,5.233032e-06,65536,48.9200
serial,qd,matvec,128,4.710606e-04,512,69.5622
serial,qd,matmul,128,6.141698e-02,4,68.2923
serial,ds,axpy,128,3.151358e-07,1048576,812.3481
serial,ds,matvec,128,8.109765e-05,4096,404.0561
serial,ds,matmul,128,1.051890e-02,32,398.7398
serial,ts,axpy,128,3.933732e-06,65536,65.0782
serial,ts,matvec,128,3.318887e-04,1024,98.7319
serial,ts,matmul,128,4.328212e-02,8,96.9062
serial,qs,axpy,128,9.361633e-06,32768,27.3457
serial,qs,matvec,128,1.163973e-03,256,28.1519
serial,qs,matmul,128,1.497904e-01,2,28.0012
serial,double,spmv,128,4.146941e-07,524288,4263.3834
serial,dd,spmv,128,2.951027e-06,131072,599.1136
serial,td,spmv,128,1.290863e-05,16384,136.9627
serial,qd,spmv,128,2.588256e-05,8192,68.3085
serial,float,spmv,128,4.330695e-07,524288,4082.4852
serial,ds,spmv,128,2.959938e-06,131072,597.3099
serial,ts,spmv,128,1.859387e-05,16384,95.0851
serial,qs,spmv,128,5.950395e-05,4096,29.7123
serial,float,axpy,256,2.100927e-08,16777216,24370.1938
serial,float,matvec,256,2.371398e-05,16384,5527.2048
serial,float,matmul,256,1.516506e-02,16,2212.6144
serial,double,axpy,256,4.359364e-08,8388608,11744.8314
serial,double,matvec,256,2.545360e-05,8192,5149.4486
serial,double,matmul,256,1.492094e-02,16,2248.8156
serial,dd,axpy,256,7.296449e-07,524288,701.7112
serial,dd,matvec,256,3.335753e-04,1024,392.9308
serial,dd,matmul,256,8.614224e-02,4,389.5236
serial,td,axpy,256,3.530731e-06,65536,145.0125
serial,td,matvec,256,9.240666e-04,256,141.8426
serial,td,matmul,256,2.464430e-01,1,136.1549
serial,qd,axpy,256,7.516726e-06,32768,68.1148
serial,qd,matvec,256,1.881296e-03,128,69.6711
serial,qd,matmul,256,5.252481e-01,1,63.8830
serial,ds,axpy,256,6.371879e-07,524288,803.5306
serial,ds,matvec,256,3.310421e-04,1024,395.9376
serial,ds,matmul,256,8.586377e-02,4,390.7869
serial,ts,axpy,256,7.876493e-06,32768,65.0035
serial,ts,matvec,256,1.325305e-03,256,98.8995
serial,ts,matmul,256,3.472519e-01,1,96.6285
serial,qs,axpy,256,1.876049e-05,16384,27.2914
serial,qs,matvec,256,4.669201e-03,64,28.0716
serial,qs,matmul,256,1.200599e+00,1,27.9481
serial,double,spmv,256,8.296929e-07,262144,4290.7442
serial,dd,spmv,256,5.878283e-06,65536,605.6191
serial,td,spmv,256,2.599403e-05,8192,136.9545
serial,qd,spmv,256,5.204807e-05,4096,68.3983
serial,float,spmv,256,8.619763e-07,262144,4130.0438
serial,ds,spmv,256,5.987367e-06,65536,594.5852
serial,ts,spmv,256,3.760192e-05,8192,94.6760
serial,qs,spmv,256,1.205235e-04,2048,29.5378
serial,float,axpy,512,4.009235e-08,8388608,25541.0350
serial,float,matvec,512,1.142983e-04,2048,4587.0145
serial,float,matmul,512,1.195589e-01,2,2245.2146
serial,double,axpy,512,9.331347e-08,4194304,10973.7635
serial,double,matvec,512,1.210385e-04,2048,4331.5796
serial,double,matmul,512,2.007570e-01,1,1337.1161
serial,dd,axpy,512,1.455688e-06,262144,703.4474
serial,dd,matvec,512,1.348508e-03,256,388.7913
serial,dd,matmul,512,8.441508e-01,1,317.9947
