backend,type,op,N,seconds,iters,mflops
serial,cd,axpy,128,1.165323e-07,2097152,2196.8157
serial,cd,matvec,128,1.798682e-05,16384,1821.7782
serial,cd,matmul,128,2.329828e-03,128,1800.2632
serial,cd,spmv,128,6.096554e-05,4096,29.0000
serial,cdd,axpy,128,1.895920e-06,131072,135.0268
serial,cdd,matvec,128,2.643713e-04,1024,123.9469
serial,cdd,matmul,128,3.185987e-02,8,131.6485
serial,cdd,spmv,128,1.885586e-04,2048,9.3764
serial,ctd,axpy,128,7.936098e-06,32768,32.2577
serial,ctd,matvec,128,8.874061e-04,256,36.9256
serial,ctd,matmul,128,9.032702e-02,4,46.4347
serial,ctd,spmv,128,3.479649e-04,1024,5.0810
serial,cqd,axpy,128,1.642072e-05,16384,15.5901
serial,cqd,matvec,128,1.744954e-03,128,18.7787
serial,cqd,matmul,128,1.859645e-01,2,22.5543
serial,cqd,spmv,128,5.177190e-04,512,3.4150
serial,cd,axpy,256,2.381564e-07,1048576,2149.8476
serial,cd,matvec,256,7.372344e-05,4096,1777.8878
serial,cd,matmul,256,2.341437e-02,16,1433.0698
serial,cd,spmv,256,1.227612e-04,2048,28.9994
serial,cdd,axpy,256,3.623885e-06,65536,141.2848
serial,cdd,matvec,256,1.266098e-03,256,103.5244
serial,cdd,matmul,256,2.611830e-01,1,128.4710
serial,cdd,spmv,256,3.791328e-04,1024,9.3898
serial,ctd,axpy,256,1.557873e-05,16384,32.8653
serial,ctd,matvec,256,3.626391e-03,64,36.1439
serial,ctd,matmul,256,7.553639e-01,1,44.4215
serial,ctd,spmv,256,6.960174e-04,512,5.1148
serial,cqd,axpy,256,3.235595e-05,8192,15.8240
serial,cqd,matvec,256,7.059313e-03,32,18.5672
serial,cqd,matmul,256,1.653309e+00,1,20.2953
serial,cqd,spmv,256,1.038954e-03,256,3.4265
serial,cd,axpy,512,4.687940e-07,524288,2184.3281
serial,cd,matvec,512,3.086310e-04,1024,1698.7536
serial,cd,matmul,512,3.266521e-01,1,821.7780
serial,cd,spmv,512,2.457178e-04,1024,29.0740
serial,cdd,axpy,512,7.195347e-06,32768,142.3142
serial,cdd,matvec,512,5.171031e-03,64,101.3895
serial,cdd,matmul,512,2.586583e+00,1,103.7800
serial,cdd,spmv,512,7.583788e-04,512,9.4201
serial,ctd,axpy,512,3.070055e-05,8192,33.3544
serial,ctd,matvec,512,1.451144e-02,16,36.1293
serial,ctd,matmul,512,8.456428e+00,1,31.7434
serial,ctd,spmv,512,1.397297e-03,256,5.1127
serial,cqd,axpy,512,6.458594e-05,4096,15.8548
