kind,prec,backend,algo,dim,value
time,double,serial,triple,256,8.714408308e-03
time,double,serial,block,256,7.112596344e-03
time,double,serial,strassen,256,5.575520270e-03
time,double,serial,winograd,256,6.270226979e-03
time,double,serial,triple,512,1.407737180e-01
time,double,serial,block,512,4.814561986e-02
time,double,serial,strassen,512,3.830220812e-02
time,double,serial,winograd,512,3.877999075e-02
time,double,serial,triple,1024,1.233006594e+00
time,double,serial,block,1024,3.229892594e-01
time,double,serial,strassen,1024,2.961306502e-01
time,double,serial,winograd,1024,2.907994753e-01
time,double,neon,triple,256,8.644388115e-03
time,double,neon,block,256,7.455851752e-03
time,double,neon,strassen,256,5.889057844e-03
time,double,neon,winograd,256,6.122417893e-03
time,double,neon,triple,512,1.411456794e-01
time,double,neon,block,512,5.051189405e-02
time,double,neon,strassen,512,4.205991852e-02
time,double,neon,winograd,512,4.868658062e-02
time,double,neon,triple,1024,1.224824745e+00
time,double,neon,block,1024,3.330161851e-01
time,double,neon,strassen,1024,3.271828238e-01
time,double,neon,winograd,1024,3.258732981e-01
time,double,sve2,triple,256,8.721217775e-03
time,double,sve2,block,256,7.386903948e-03
time,double,sve2,strassen,256,6.975647164e-03
time,double,sve2,winograd,256,6.055447848e-03
time,double,sve2,triple,512,1.399426851e-01
time,double,sve2,block,512,4.981951328e-02
time,double,sve2,strassen,512,4.511544522e-02
time,double,sve2,winograd,512,5.259656522e-02
time,double,sve2,triple,1024,1.201028662e+00
time,double,sve2,block,1024,3.301574988e-01
time,double,sve2,strassen,1024,3.466883847e-01
time,double,sve2,winograd,1024,3.291040696e-01
time,dd,serial,triple,256,6.175026856e-02
time,dd,serial,block,256,4.860785912e-02
time,dd,serial,strassen,256,4.153759475e-02
time,dd,serial,winograd,256,3.967083496e-02
time,dd,serial,triple,512,5.044851690e-01
time,dd,serial,block,512,3.894069912e-01
time,dd,serial,strassen,512,2.831439967e-01
time,dd,serial,winograd,512,2.798533021e-01
time,dd,serial,triple,1024,4.261631355e+00
time,dd,serial,block,1024,3.132422651e+00
time,dd,serial,strassen,1024,2.013924924e+00
time,dd,serial,winograd,1024,1.897835598e+00
time,dd,neon,triple,256,3.089033777e-02
time,dd,neon,block,256,2.493934246e-02
time,dd,neon,strassen,256,2.651039010e-02
time,dd,neon,winograd,256,2.322708030e-02
time,dd,neon,triple,512,2.508099601e-01
time,dd,neon,block,512,2.010037731e-01
time,dd,neon,strassen,512,1.726971008e-01
time,dd,neon,winograd,512,1.746884880e-01
time,dd,neon,triple,1024,2.072113897e+00
time,dd,neon,block,1024,1.593666273e+00
time,dd,neon,strassen,1024,1.276039365e+00
time,dd,neon,winograd,1024,1.142856921e+00
time,dd,sve2,triple,256,3.212672251e-02
time,dd,sve2,block,256,2.633263048e-02
time,dd,sve2,strassen,256,2.573195472e-02
time,dd,sve2,winograd,256,2.645117964e-02
time,dd,sve2,triple,512,2.608702369e-01
time,dd,sve2,block,512,2.102657529e-01
time,dd,sve2,strassen,512,1.852282693e-01
time,dd,sve2,winograd,512,1.482890160e-01
time,dd,sve2,triple,1024,2.189482177e+00
