kind,prec,backend,algo,dim,value
time,double,serial,triple,256,2.063947520e-02
time,double,serial,block,256,8.585812990e-03
time,double,serial,strassen,256,7.654060959e-03
time,double,serial,winograd,256,7.737925625e-03
time,double,serial,triple,512,2.828123346e-01
time,double,serial,block,512,8.655580971e-02
time,double,serial,strassen,512,5.143200699e-02
time,double,serial,winograd,512,5.188905355e-02
time,double,serial,triple,1024,3.248707853e+00
time,double,serial,block,1024,4.010684155e-01
time,double,serial,strassen,1024,3.353232853e-01
time,double,serial,winograd,1024,3.305501267e-01
time,double,avx2,triple,256,1.469310210e-02
time,double,avx2,block,256,6.399690523e-03
time,double,avx2,strassen,256,5.956446053e-03
time,double,avx2,winograd,256,6.037773914e-03
time,double,avx2,triple,512,2.096371986e-01
time,double,avx2,block,512,4.368235916e-02
time,double,avx2,strassen,512,4.547180096e-02
time,double,avx2,winograd,512,4.584971583e-02
time,double,avx2,triple,1024,3.237981342e+00
time,double,avx2,block,1024,2.949893177e-01
time,double,avx2,strassen,1024,2.943556160e-01
time,double,avx2,winograd,1024,2.308278717e-01
time,double,avx512,triple,256,2.135313884e-02
time,double,avx512,block,256,1.086559892e-02
time,double,avx512,strassen,256,9.794882266e-03
time,double,avx512,winograd,256,9.848507354e-03
time,double,avx512,triple,512,2.154361643e-01
time,double,avx512,block,512,5.347125698e-02
time,double,avx512,strassen,512,5.025609350e-02
time,double,avx512,winograd,512,5.074466951e-02
time,double,avx512,triple,1024,3.233262859e+00
time,double,avx512,block,1024,3.623218238e-01
time,double,avx512,strassen,1024,3.270180821e-01
time,double,avx512,winograd,1024,2.778407261e-01
time,dd,serial,triple,256,1.201094761e-01
time,dd,serial,block,256,1.031171009e-01
time,dd,serial,strassen,256,8.063227311e-02
time,dd,serial,winograd,256,8.374021482e-02
time,dd,serial,triple,512,9.180223569e-01
time,dd,serial,block,512,5.901125334e-01
time,dd,serial,strassen,512,4.166967310e-01
time,dd,serial,winograd,512,4.051231965e-01
time,dd,serial,triple,1024,8.290178448e+00
time,dd,serial,block,1024,4.723940548e+00
time,dd,serial,strassen,1024,2.868903864e+00
time,dd,serial,winograd,1024,2.745341226e+00
time,dd,avx2,triple,256,2.557614120e-02
